        GPH.dhat GPH.dhat.se  Sperio.dhat Sperio.dhat.se wfarima.dhat wfarima.dhat.se
1   0.3109809604   0.2733393  0.123777109      0.1224311   0.01447266      0.06771025
2   0.0906048924   0.2733393  0.177149524      0.1224311  -0.22587891      0.06771025
3   0.2117927480   0.2733393  0.198374225      0.1224311  -0.03707031      0.06771025
4   0.2692388628   0.2733572 -0.007721839      0.1221468  -0.48318359      0.06796432
5   0.2088143049   0.2733572  0.178989852      0.1221468  -0.15970703      0.06796432
6  -0.0764354978   0.2733572 -0.114082286      0.1221468  -0.69632812      0.06796433
7  -0.3265702746   0.2733572 -0.129773383      0.1221468  -0.64943359      0.06796433
8   0.1312020408   0.2733572  0.005430633      0.1221468  -0.90578125      0.06796432
9  -0.5829589116   0.2733572 -0.252790241      0.1221468  -1.05289062      0.06796433
10  0.1283584359   0.2733572 -0.056223813      0.1221468  -0.37736328      0.06796433
11 -0.1340617379   0.2733572  0.079038627      0.1221468  -0.93230469      0.06796432
12  0.2282241389   0.2733393  0.123209752      0.1224311  -0.24775391      0.06771025
13 -0.0049196465   0.2733572 -0.075684015      0.1221468  -0.61525391      0.06796433
14 -0.2336305675   0.2733572  0.116015516      0.1221468  -0.96347656      0.06796432
15 -0.0604077231   0.2733393  0.145563935      0.1224311   0.09226563      0.06771025
16  0.4377101146   0.2733572  0.229539298      0.1221468  -0.55386719      0.06796433
17 -0.0463262018   0.2733572  0.134092602      0.1221468  -0.70425781      0.06796433
18  0.2429010329   0.2733572  0.290791246      0.1221468  -0.67541016      0.06796433
19  0.0766381439   0.2733572 -0.169653478      0.1221468  -0.63712891      0.06796433
20  0.0487123794   0.2733572  0.244455949      0.1221468  -0.65558594      0.06796432
21  0.1606065280   0.2733572  0.134321869      0.1221468  -0.49179687      0.06796432
22 -0.0516595906   0.2733572 -0.056495120      0.1221468  -0.40757812      0.06796432
23 -0.2725817715   0.2733572 -0.177854399      0.1221468  -0.52953125      0.06796432
24 -0.1151630323   0.2733572 -0.024080769      0.1221468  -0.65900391      0.06796432
25  0.3873260223   0.2733393  0.402279852      0.1224311  -0.19949219      0.06771025
26  0.1972661117   0.2733393  0.181551208      0.1224311  -0.31857422      0.06771025
27  1.0543196253   0.2733393  0.610068035      0.1224311  -0.18308594      0.06771025
28 -0.3071553191   0.2733572  0.115535280      0.1221468  -1.04414062      0.06796433
29 -0.0757443967   0.2733572 -0.233442372      0.1221468  -0.79804687      0.06796432
30 -0.3420713878   0.2733572 -0.093768746      0.1221468  -0.92738281      0.06796433
31 -0.0254722079   0.2733572 -0.047303355      0.1221468  -0.42890625      0.06796433
32 -0.0001819687   0.2733572  0.129164065      0.1221468  -0.45871094      0.06796433
33 -0.0968359439   0.2733572 -0.249660453      0.1221468  -0.75115234      0.06796432
34 -0.0209233449   0.2733572  0.053860282      0.1221468  -0.54539062      0.06796432
35  0.0529853103   0.2733572  0.241587882      0.1221468  -0.82785156      0.06796432
36 -0.3309210728   0.2733572 -0.005516354      0.1221468  -0.65503906      0.06796433
37 -0.3938590436   0.2733572 -0.172994521      0.1221468  -0.80734375      0.06796432
38 -0.3555147670   0.2733572 -0.022710814      0.1221468  -0.74718750      0.06796432
39 -0.1085616313   0.2733572 -0.007441017      0.1221468  -0.74773437      0.06796433
40  0.0072736301   0.2733756 -0.038092517      0.1226168  -0.80761719      0.06822127
41  0.3238078242   0.2733393  0.305738830      0.1224311  -0.21261719      0.06771025
42 -0.3211208130   0.2733393 -0.294708298      0.1224311  -0.41755859      0.06771025
43 -0.4034491665   0.2733572 -0.067378235      0.1221468  -1.25878906      0.06796432
44 -0.2250340226   0.2733572 -0.333167139      0.1221468  -0.78970703      0.06796433
45 -0.0412791596   0.2733572 -0.110324829      0.1221468  -0.61443359      0.06796432
46 -0.3471385287   0.2733572  0.062682309      0.1221468  -0.66761719      0.06796433
47  0.2355889693   0.2733393  0.266956331      0.1224311  -0.35056641      0.06771025
48  0.6065222936   0.2733393  0.448994079      0.1224311   0.38757812      0.06771025
49 -0.6294446154   0.2733572 -0.356643811      0.1221468  -0.82156250      0.06796432
50  0.1978912196   0.2733393  0.127289587      0.1224311  -0.50369141      0.06771025
51 -0.4206000762   0.2733572 -0.199280906      0.1221468  -0.87625000      0.06796432
      GPH.dstar GPH.dstar.se Sperio.dstar Sperio.dstar.se wfarima.dstar wfarima.dstar.se
1   0.310806670    0.2769058  0.062510244       0.2068925   -0.01664402       0.07908396
2   0.074551092    0.2643782  0.108222725       0.1996096   -0.25474901       0.08287726
3   0.225373997    0.2643513  0.128223112       0.2008555   -0.07176121       0.07922904
