Date,Month,Year,National
12/31/1984,12,1984,12.851
1/31/1985,1,1985,12.415
2/28/1985,2,1985,13.218
3/29/1985,3,1985,12.862
4/30/1985,4,1985,12.694
5/31/1985,5,1985,11.402
6/28/1985,6,1985,11.372
7/31/1985,7,1985,11.737
8/30/1985,8,1985,11.696
9/30/1985,9,1985,11.665
10/31/1985,10,1985,11.321
11/29/1985,11,1985,10.762
12/31/1985,12,1985,9.9
1/31/1986,1,1986,10.245
2/28/1986,2,1986,9.4
3/31/1986,3,1986,9.222
4/30/1986,4,1986,9.194
5/30/1986,5,1986,10.017
6/30/1986,6,1986,9.9
7/31/1986,7,1986,9.738
8/29/1986,8,1986,9.129
9/30/1986,9,1986,9.334
10/31/1986,10,1986,9.203
11/28/1986,11,1986,8.607
12/31/1986,12,1986,8.761
1/30/1987,1,1987,8.327
2/27/1987,2,1987,8.382
3/31/1987,3,1987,8.716
4/30/1987,4,1987,9.766
5/29/1987,5,1987,10.167
6/30/1987,6,1987,9.871
7/31/1987,7,1987,9.881
8/31/1987,8,1987,10.148
9/30/1987,9,1987,10.812
10/30/1987,10,1987,10.352
11/30/1987,11,1987,10.225
12/31/1987,12,1987,10.196
1/29/1988,1,1988,9.409
2/29/1988,2,1988,9.371
3/31/1988,3,1988,9.719
4/29/1988,4,1988,9.939
5/31/1988,5,1988,10.249
6/30/1988,6,1988,9.862
7/29/1988,7,1988,10.21
8/31/1988,8,1988,10.283
9/30/1988,9,1988,9.896
10/31/1988,10,1988,9.676
11/30/1988,11,1988,10.148
12/30/1988,12,1988,10.416
1/31/1989,1,1989,10.225
2/28/1989,2,1989,10.658
3/31/1989,3,1989,10.822
4/28/1989,4,1989,10.668
5/31/1989,5,1989,10.143
6/30/1989,6,1989,9.719
7/31/1989,7,1989,9.25
8/31/1989,8,1989,9.814
9/29/1989,9,1989,9.86
10/31/1989,10,1989,9.42
11/30/1989,11,1989,9.39
12/29/1989,12,1989,9.46
1/31/1990,1,1990,9.85
2/28/1990,2,1990,9.88
3/30/1990,3,1990,9.93
4/30/1990,4,1990,10.37
5/31/1990,5,1990,9.83
6/29/1990,6,1990,9.69
7/31/1990,7,1990,9.46
8/31/1990,8,1990,9.83
9/28/1990,9,1990,9.82
10/31/1990,10,1990,9.74
11/30/1990,11,1990,9.54
12/31/1990,12,1990,9.29
1/31/1991,1,1991,9.16
2/28/1991,2,1991,9.11
3/29/1991,3,1991,9.16
4/30/1991,4,1991,9.09
5/31/1991,5,1991,9.04
6/28/1991,6,1991,9.25
7/31/1991,7,1991,9.07
8/30/1991,8,1991,8.78
9/30/1991,9,1991,8.42
10/31/1991,10,1991,8.25
11/29/1991,11,1991,8.29
12/31/1991,12,1991,7.57
1/31/1992,1,1992,8.33
2/28/1992,2,1992,8.11
3/31/1992,3,1992,8.51
4/30/1992,4,1992,8.35
5/29/1992,5,1992,8.12
6/30/1992,6,1992,7.86
7/31/1992,7,1992,7.52
8/31/1992,8,1992,7.35
9/30/1992,9,1992,7.42
10/30/1992,10,1992,7.88
11/30/1992,11,1992,8.01
12/31/1992,12,1992,7.57
1/29/1993,1,1993,7.25
2/26/1993,2,1993,6.92
3/31/1993,3,1993,6.91
4/30/1993,4,1993,6.91
5/31/1993,5,1993,6.97
6/30/1993,6,1993,6.61
7/30/1993,7,1993,6.61
8/31/1993,8,1993,6.33
9/30/1993,9,1993,6.26
10/29/1993,10,1993,6.4
11/30/1993,11,1993,6.77
12/31/1993,12,1993,6.68
1/31/1994,1,1994,6.39
2/28/1994,2,1994,6.98
3/31/1994,3,1994,7.81
4/29/1994,4,1994,8.07
5/31/1994,5,1994,8.13
6/30/1994,6,1994,8.34
7/29/1994,7,1994,8.03
8/31/1994,8,1994,8.12
9/30/1994,9,1994,8.54
10/31/1994,10,1994,8.72
11/30/1994,11,1994,8.91
12/30/1994,12,1994,8.89
1/31/1995,1,1995,8.62
2/28/1995,2,1995,8.17
3/31/1995,3,1995,8.22
4/28/1995,4,1995,8.09
5/31/1995,5,1995,7.43
6/30/1995,6,1995,7.43
7/31/1995,7,1995,7.57
8/31/1995,8,1995,7.44
9/29/1995,9,1995,7.37
10/31/1995,10,1995,7.24
11/30/1995,11,1995,7.03
12/29/1995,12,1995,6.81
1/31/1996,1,1996,6.76
2/29/1996,2,1996,7.26
3/29/1996,3,1996,7.57
4/30/1996,4,1996,7.8
5/31/1996,5,1996,8
6/28/1996,6,1996,7.87
7/31/1996,7,1996,7.91
8/30/1996,8,1996,8.05
9/30/1996,9,1996,7.82
10/31/1996,10,1996,7.48
11/29/1996,11,1996,7.21
12/31/1996,12,1996,7.54
1/31/1997,1,1997,7.52
2/28/1997,2,1997,7.58
3/31/1997,3,1997,7.95
4/30/1997,4,1997,7.71
5/30/1997,5,1997,7.63
6/30/1997,6,1997,7.47
7/31/1997,7,1997,7.05
8/29/1997,8,1997,7.3
9/30/1997,9,1997,7.1
10/31/1997,10,1997,6.93
11/28/1997,11,1997,6.98
12/31/1997,12,1997,6.8
1/30/1998,1,1998,6.62
2/27/1998,2,1998,6.74
