Date,Year,Month,National
5/16/1997,1997,5,1.5
6/2/1997,1997,6,1.54
7/1/1997,1997,7,2.4
8/1/1997,1997,8,2.34
9/2/1997,1997,9,4.34
10/1/1997,1997,10,5.08
11/3/1997,1997,11,4.12
12/1/1997,1997,12,5.02
1/2/1998,1998,1,4.92
2/2/1998,1998,2,6.42
3/2/1998,1998,3,7.13
4/1/1998,1998,4,7.65
5/1/1998,1998,5,7.34
6/1/1998,1998,6,16.63
7/1/1998,1998,7,18.48
8/3/1998,1998,8,13.96
9/1/1998,1998,9,18.6
10/1/1998,1998,10,21.07
11/2/1998,1998,11,32
12/1/1998,1998,12,53.54
1/4/1999,1999,1,58.47
2/1/1999,1999,2,64.06
3/1/1999,1999,3,86.09
4/1/1999,1999,4,86.03
5/3/1999,1999,5,59.38
6/1/1999,1999,6,62.56
7/1/1999,1999,7,50.03
8/2/1999,1999,8,62.19
9/1/1999,1999,9,79.94
10/1/1999,1999,10,70.63
11/1/1999,1999,11,85.06
12/1/1999,1999,12,76.12
1/3/2000,2000,1,64.56
2/1/2000,2000,2,68.87
3/1/2000,2000,3,67
4/3/2000,2000,4,55.19
5/1/2000,2000,5,48.31
6/1/2000,2000,6,36.31
7/3/2000,2000,7,30.12
8/1/2000,2000,8,41.5
9/1/2000,2000,9,38.44
10/2/2000,2000,10,36.62
11/1/2000,2000,11,24.69
12/1/2000,2000,12,15.56
1/2/2001,2001,1,17.31
2/1/2001,2001,2,10.19
3/1/2001,2001,3,10.23
4/2/2001,2001,4,15.78
5/1/2001,2001,5,16.69
6/1/2001,2001,6,14.15
7/2/2001,2001,7,12.49
8/1/2001,2001,8,8.94
9/4/2001,2001,9,5.97
10/1/2001,2001,10,6.98
11/1/2001,2001,11,11.32
12/3/2001,2001,12,10.82
1/2/2002,2002,1,14.19
2/4/2002,2002,2,14.1
3/1/2002,2002,3,14.3
4/1/2002,2002,4,16.69
5/1/2002,2002,5,18.23
6/3/2002,2002,6,16.25
7/1/2002,2002,7,14.45
8/1/2002,2002,8,14.94
9/3/2002,2002,9,15.93
10/1/2002,2002,10,19.36
11/1/2002,2002,11,23.35
12/2/2002,2002,12,18.89
1/2/2003,2003,1,21.85
2/3/2003,2003,2,22.01
3/3/2003,2003,3,26.03
4/1/2003,2003,4,28.69
5/1/2003,2003,5,35.89
6/2/2003,2003,6,36.32
7/1/2003,2003,7,41.64
8/1/2003,2003,8,46.32
9/2/2003,2003,9,48.43
10/1/2003,2003,10,54.43
11/3/2003,2003,11,53.97
12/1/2003,2003,12,52.62
1/2/2004,2004,1,50.4
2/2/2004,2004,2,43.01
3/1/2004,2004,3,43.28
4/1/2004,2004,4,43.6
5/3/2004,2004,5,48.5
6/1/2004,2004,6,54.4
7/1/2004,2004,7,38.92
8/2/2004,2004,8,38.14
9/1/2004,2004,9,40.86
10/1/2004,2004,10,34.13
11/1/2004,2004,11,39.68
12/1/2004,2004,12,44.29
1/3/2005,2005,1,43.22
2/1/2005,2005,2,35.18
3/1/2005,2005,3,34.27
4/1/2005,2005,4,32.36
5/2/2005,2005,5,35.51
6/1/2005,2005,6,33.09
7/1/2005,2005,7,45.15
8/1/2005,2005,8,42.7
9/1/2005,2005,9,45.3
10/3/2005,2005,10,39.86
11/1/2005,2005,11,48.46
12/1/2005,2005,12,47.15
1/3/2006,2006,1,44.82
2/1/2006,2006,2,37.44
3/1/2006,2006,3,36.53
4/3/2006,2006,4,35.21
5/1/2006,2006,5,34.61
6/1/2006,2006,6,38.68
7/3/2006,2006,7,26.89
8/1/2006,2006,8,30.83
9/1/2006,2006,9,32.12
10/2/2006,2006,10,38.09
11/1/2006,2006,11,40.34
12/1/2006,2006,12,39.46
1/3/2007,2007,1,37.67
2/1/2007,2007,2,39.14
3/1/2007,2007,3,39.79
4/2/2007,2007,4,61.33
5/1/2007,2007,5,69.14
6/1/2007,2007,6,68.41
7/2/2007,2007,7,78.54
8/1/2007,2007,8,79.91
9/4/2007,2007,9,93.15
10/1/2007,2007,10,89.15
11/1/2007,2007,11,90.56
12/3/2007,2007,12,92.64
1/2/2008,2008,1,77.7
2/1/2008,2008,2,64.47
3/3/2008,2008,3,71.3
4/1/2008,2008,4,78.63
5/1/2008,2008,5,81.62
6/2/2008,2008,6,73.33
7/1/2008,2008,7,76.34
8/1/2008,2008,8,80.81
9/2/2008,2008,9,72.76
10/1/2008,2008,10,57.24
11/3/2008,2008,11,42.7
12/1/2008,2008,12,51.28
1/2/2009,2009,1,58.82
2/2/2009,2009,2,64.79
3/2/2009,2009,3,73.44
4/1/2009,2009,4,80.52
5/1/2009,2009,5,77.95
6/1/2009,2009,6,81.8475
