Date,Month,Year,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NE,NC,ND,NH,NJ,NM,NY,NV,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1/31/1995,1,1995,71,970,423,2507,3856,1764,412,,327,6501,4264,259,158,329,1389,1120,535,708,806,849,1492,112,1525,565,909,455,76,147,3378,17,203,978,580,1104,1438,1309,443,1010,1768,109,1511,63,1836,4813,928,2072,68,1767,749,180,54
2/28/1995,2,1995,90,901,523,2402,4866,1782,281,,240,6021,3962,291,335,390,1833,1371,564,700,861,706,1471,139,1660,795,1167,477,85,227,3333,15,160,877,594,831,1473,1493,556,1034,1450,84,1324,89,1876,5019,904,2023,84,1910,800,157,57
3/31/1995,3,1995,96,1197,645,3394,4907,2209,585,,366,7572,5200,218,584,650,3384,2475,802,1231,979,1310,2241,246,2767,1439,1734,613,151,435,4727,70,304,1453,696,1676,1661,3010,686,1357,2642,176,1890,154,2614,6083,1096,3710,164,2423,1554,293,115
4/30/1995,4,1995,204,1044,670,3146,5339,2265,656,,399,6513,4800,192,774,619,3062,2356,702,1076,886,1184,2231,403,3539,1671,1453,632,172,421,3901,152,369,1413,708,1958,1710,2896,491,1341,2879,163,1573,192,2398,5704,1234,2769,196,2304,2042,270,125
5/31/1995,5,1995,202,1165,697,3827,6308,2578,697,,403,7496,5201,273,743,791,3546,2668,804,1160,983,1390,2072,509,4156,2166,1633,687,207,435,4470,204,392,1676,831,2115,2637,3432,604,1580,3356,198,1793,309,2558,6266,1419,3047,214,2681,2387,303,112
6/30/1995,6,1995,207,1118,636,4087,7025,2788,666,,355,7797,5495,603,703,845,3553,2780,773,1072,1179,1362,1995,528,4229,2351,1871,706,205,485,4223,149,376,1685,985,2184,1821,3403,877,1513,2996,209,1793,235,2618,6320,1465,3337,203,2878,2363,340,150
7/31/1995,7,1995,167,1060,575,3652,5763,2720,662,,366,6869,5075,469,818,742,3186,2571,896,1126,1032,1316,2007,402,3517,2157,1687,687,183,518,4036,148,370,1443,725,1784,1867,2896,654,1423,2878,178,1920,194,2624,5904,1363,2964,163,2304,1978,319,113
8/31/1995,8,1995,203,1263,660,4014,8245,2848,844,,384,7678,5859,237,692,900,3477,2945,999,1331,1053,1320,2475,407,4097,2363,1843,716,167,530,4739,169,428,1721,857,1993,2236,3349,755,1432,3157,215,1657,234,2998,6748,1664,3782,198,2471,2174,304,135
9/30/1995,9,1995,166,1161,609,3414,5545,2523,648,,392,10126,5083,446,665,776,3370,2532,699,1120,988,1257,1595,403,3423,1984,1557,688,164,502,4042,177,369,1507,695,1814,1951,2826,624,1274,2767,190,1491,248,2629,6102,1450,2793,197,2138,1909,321,137
10/31/1995,10,1995,187,1181,706,3477,5919,2632,724,,407,6603,5111,321,724,663,3472,2667,770,1271,1004,1269,2239,399,3602,2157,1735,705,150,518,4168,161,353,1728,754,1971,1906,3279,792,1440,2863,187,1622,213,2582,5964,1460,3184,230,2405,2069,266,115
