Year,Month,Dow
1975,1,703.69
1975,2,739.05
1975,3,768.15
1975,4,821.34
1975,5,832.29
1975,6,878.99
1975,7,831.51
1975,8,835.34
1975,9,793.88
1975,10,836.04
1975,11,860.67
1975,12,852.41
1976,1,975.28
1976,2,972.61
1976,3,999.45
1976,4,996.85
1976,5,975.23
1976,6,1002.78
1976,7,984.64
1976,8,973.74
1976,9,990.19
1976,10,964.93
1976,11,947.22
1976,12,1004.65
1977,1,954.37
1977,2,936.42
1977,3,919.13
1977,4,926.9
1977,5,898.66
1977,6,916.3
1977,7,890.07
1977,8,861.49
1977,9,847.11
1977,10,818.35
1977,11,829.7
1977,12,831.17
1978,1,769.92
1978,2,742.12
1978,3,757.36
1978,4,837.32
1978,5,840.61
1978,6,818.95
1978,7,862.27
1978,8,876.82
1978,9,865.82
1978,10,792.45
1978,11,799.03
1978,12,805.01
1979,1,839.22
1979,2,808.82
1979,3,862.18
1979,4,854.9
1979,5,822.33
1979,6,841.98
1979,7,846.42
1979,8,887.63
1979,9,878.58
1979,10,815.7
1979,11,822.35
1979,12,838.74
1980,1,875.85
1980,2,863.14
1980,3,785.75
1980,4,817.06
1980,5,850.85
1980,6,867.92
1980,7,935.32
1980,8,932.59
1980,9,932.42
1980,10,924.49
1980,11,993.34
1980,12,963.99
1981,1,947.27
1981,2,974.58
1981,3,1003.87
1981,4,997.75
1981,5,991.75
1981,6,976.88
1981,7,952.34
1981,8,881.47
1981,9,849.98
1981,10,852.55
1981,11,888.98
1981,12,875
1982,1,871.1
1982,2,824.39
1982,3,822.77
1982,4,848.36
1982,5,819.54
1982,6,811.93
1982,7,808.6
1982,8,901.31
1982,9,896.25
1982,10,991.72
1982,11,1039.28
1982,12,1046.54
1983,1,1075.7
1983,2,1112.16
1983,3,1130.03
1983,4,1226.2
1983,5,1199.98
1983,6,1221.96
1983,7,1199.22
1983,8,1216.16
1983,9,1233.13
1983,10,1225.2
1983,11,1276.02
1983,12,1258.64
1984,1,1220.58
1984,2,1154.63
1984,3,1164.89
1984,4,1170.75
1984,5,1104.85
1984,6,1132.4
1984,7,1115.28
1984,8,1224.38
1984,9,1206.71
1984,10,1207.38
1984,11,1188.94
1984,12,1211.57
1985,1,1286.77
1985,2,1284.01
1985,3,1266.78
1985,4,1258.06
1985,5,1315.41
1985,6,1335.46
1985,7,1347.45
1985,8,1334.01
1985,9,1328.63
1985,10,1374.31
1985,11,1472.13
1985,12,1546.67
1986,1,1570.99
1986,2,1709.06
1986,3,1818.61
1986,4,1783.98
1986,5,1876.71
1986,6,1892.72
1986,7,1775.31
1986,8,1898.34
1986,9,1767.58
1986,10,1877.71
1986,11,1914.23
1986,12,1895.95
1987,1,2158.04
1987,2,2223.99
1987,3,2304.69
1987,4,2286.36
1987,5,2291.57
1987,6,2418.53
1987,7,2572.07
1987,8,2662.95
1987,9,2596.28
1987,10,1993.53
1987,11,1833.55
1987,12,1938.83
1988,1,1958.22
1988,2,2071.62
1988,3,1988.06
1988,4,2032.33
1988,5,2031.12
1988,6,2141.71
1988,7,2128.73
1988,8,2031.65
1988,9,2112.91
1988,10,2148.65
1988,11,2114.51
1988,12,2168.57
1989,1,2342.32
1989,2,2258.39
1989,3,2293.62
1989,4,2418.8
1989,5,2480.15
1989,6,2440.06
1989,7,2660.66
1989,8,2737.27
1989,9,2692.82
1989,10,2645.08
1989,11,2706.27
1989,12,2753.2
