State,median_income,ty_cr,mort_orig,unemp_rate,pop_size,foreclosures,building_permits,libor_2,libor_5,libor_10,libor_20,start_year
AK,"9,9","3,3",n,n,"-1,-1","5,5","-5,-5",n,n,n,n,1998
AL,11,8,7,4,1,6,5,n,n,n,n,1998
AR,,,,,,,,n,n,n,n,1998
AZ,11,6,2,9,n,12,13,n,n,n,n,2003
CA,"0,0","4,4","6,6","8,8",0#12,"6,6","8,8",n,n,n,n,2002
CO,"-6,-3","1,4","10,12","-8,-3","-6,-4","1,3","4,7",n,n,n,n,1998
CT,,,,,,,,n,n,n,n,1998
DC,,,,,,,,n,n,n,n,1998
DE,,,,,,,,n,n,n,n,1998
FL,0,"3,3","2,2","3,3",3,"2,2","3,3",n,n,n,n,2001
GA,-3#0#3,"1,3","4,6","-4,-2",0#6#8,"-3,-1",-2#2#5#6,n,n,n,n,1998
HI,,,,,,,,n,n,n,n,1998
IA,,,,,,,,n,n,n,n,1998
ID,0,4,4,3,4,3,3,n,n,n,n,1998
IL,"0,0","4,4","12,12","10,10","3,3","-11,-11","12,24",n,n,n,n,1998
IN,,,,,,,,n,n,n,n,1998
KS,"6,6","0,0","2,2","3,3","4,4","7,7","2,2",n,n,n,n,1998
KY,9,5,11,5,3,0,6,n,n,n,n,1998
LA,,,,,,,,n,n,n,n,1998
MA,n,n,"4,4",n,"6,6","4,4","5,5",n,n,n,n,1998
MD,,,,,,,,n,n,n,n,1998
ME,,,,,,,,n,n,n,n,1998
MI,"8,8","6,6","2,2","-4,-4","1,1","3,3","0,0",n,n,n,n,1998
MN,,,,,,,,n,n,n,n,1998
MO,,,,,,,,n,n,n,n,1998
MS,3,3,3,3,6,5,1,n,n,n,n,1998
MT,"6,6","-6,-6","-2,-2","6,6",3,"1,1","1,1",n,n,n,n,1998
NC,,,,,,,,n,n,n,n,1998
ND,12,8,3,9,3,2,2,n,n,n,n,1998
NE,,,,,,,,n,n,n,n,1998
NH,,,,,,,,n,n,n,n,1998
NJ,3,2,2,4,18,1,4,n,n,n,n,1998
NM,,,,,,,,n,n,n,n,1998
NV,3,n,3,12,-3,0,6,-22,n,11,n,1999
NY,"-6,-3","3,6","0,5","6,8","-6,-6","-18,-14","4,12",n,n,n,n,1998
OH,"6,6","1,1","0,0","3,3","9,9","2,2","1,1",n,n,n,n,1998
OK,,,,,,,,n,n,n,n,1998
OR,,,,,,,,n,n,n,n,1998
PA,,,,,,,,n,n,n,n,1998
RI,,,,,,,,n,n,n,n,1998
SC,,,,,,,,n,n,n,n,1998
SD,"1,1","8,8","12,12","11,11",0#2,"7,7","3,3",n,n,n,n,1998
TN,,,,,,,,n,n,n,n,1998
TX,"12,12","3,3","7,7","4,4","0,0","10,10","3,3",n,n,n,n,1998
UT,,,,,,,,n,n,n,n,1998
VA,6,3,0,10,6,9,4,n,n,n,n,1998
VT,0,3,0,9,12,5,7,n,n,n,n,1998
WA,,,,,,,,n,n,n,n,1998
WI,,,,,,,,n,n,n,n,1998
WV,4,2,1,1,8,2,6,n,n,n,n,1998
WY,,,,,,,,n,n,n,n,1998
