Date,Month,Year,National,PX_CLOSE_1D
12/30/1988,12,1988,4.89,4.81
1/31/1989,1,1989,5.05,4.89
2/28/1989,2,1989,5.12,5.05
3/31/1989,3,1989,5.14,5.12
4/28/1989,4,1989,5.24,5.14
5/31/1989,5,1989,5.44,5.24
6/30/1989,6,1989,5.42,5.44
7/31/1989,7,1989,5.33,5.42
8/31/1989,8,1989,5.41,5.33
9/29/1989,9,1989,5.53,5.41
10/31/1989,10,1989,6.29,5.53
11/30/1989,11,1989,6.53,6.29
12/29/1989,12,1989,6.66,6.53
1/31/1990,1,1990,7.32,6.66
2/28/1990,2,1990,7.51,7.32
3/30/1990,3,1990,7.82,7.51
4/30/1990,4,1990,7.64,7.82
5/31/1990,5,1990,7.28,7.64
6/29/1990,6,1990,7.47,7.28
7/31/1990,7,1990,7.78,7.47
8/31/1990,8,1990,8.4,7.78
9/28/1990,9,1990,8.83,8.4
10/31/1990,10,1990,8.17,8.83
11/30/1990,11,1990,7.89,8.17
12/31/1990,12,1990,7.4,7.89
1/31/1991,1,1991,7.37,7.4
2/28/1991,2,1991,7.15,7.37
3/29/1991,3,1991,7.32,7.15
4/30/1991,4,1991,7.36,7.32
5/31/1991,5,1991,7.29,7.36
6/28/1991,6,1991,7.44,7.29
7/31/1991,7,1991,6.99,7.44
8/30/1991,8,1991,6.61,6.99
9/30/1991,9,1991,6.1,6.61
10/31/1991,10,1991,5.92,6.1
11/29/1991,11,1991,5.82,5.92
12/31/1991,12,1991,5.37,5.82
1/31/1992,1,1992,5.08,5.37
2/28/1992,2,1992,5.27,5.08
3/31/1992,3,1992,5.13,5.27
4/30/1992,4,1992,5.12,5.13
5/29/1992,5,1992,5.08,5.12
6/30/1992,6,1992,4.65,5.08
7/31/1992,7,1992,4.04,4.65
8/31/1992,8,1992,4.33,4.04
9/30/1992,9,1992,4,4.33
10/30/1992,10,1992,3.91,4
11/30/1992,11,1992,3.95,3.91
12/31/1992,12,1992,3.86,3.95
1/29/1993,1,1993,3.65,3.86
2/26/1993,2,1993,3.49,3.65
3/31/1993,3,1993,3.72,3.49
4/30/1993,4,1993,3.74,3.72
5/31/1993,5,1993,3.84,3.74
6/30/1993,6,1993,3.58,3.84
7/30/1993,7,1993,3.32,3.58
8/31/1993,8,1993,2.98,3.32
9/30/1993,9,1993,2.84,2.98
10/29/1993,10,1993,2.43,2.84
11/30/1993,11,1993,1.95,2.43
12/31/1993,12,1993,1.81,1.95
1/31/1994,1,1994,2.38,1.81
2/28/1994,2,1994,2.8,2.38
3/31/1994,3,1994,2.77,2.8
4/29/1994,4,1994,3.03,2.77
5/31/1994,5,1994,2.95,3.03
6/30/1994,6,1994,3.05,2.95
7/29/1994,7,1994,3.05,3.05
8/31/1994,8,1994,3.43,3.05
9/30/1994,9,1994,3.32,3.43
10/31/1994,10,1994,3.48,3.32
11/30/1994,11,1994,3.35,3.48
12/30/1994,12,1994,3.135,3.35
1/31/1995,1,1995,3.1,3.135
2/28/1995,2,1995,2.85,3.1
3/31/1995,3,1995,2,2.85
4/28/1995,4,1995,1.955,2
5/31/1995,5,1995,1.255,1.955
6/30/1995,6,1995,1.225,1.255
7/31/1995,7,1995,1.035,1.225
8/31/1995,8,1995,1.21,1.035
9/29/1995,9,1995,0.875,1.21
10/31/1995,10,1995,0.845,0.875
11/30/1995,11,1995,0.73,0.845
12/29/1995,12,1995,0.935,0.73
1/31/1996,1,1996,1.18,0.935
2/29/1996,2,1996,1.6605,1.18
3/29/1996,3,1996,1.44,1.6605
4/30/1996,4,1996,1.736,1.44
5/31/1996,5,1996,1.445,1.736
6/28/1996,6,1996,1.538,1.445
7/31/1996,7,1996,1.6,1.538
8/30/1996,8,1996,1.08,1.6
9/30/1996,9,1996,1.115,1.08
10/31/1996,10,1996,0.905,1.115
11/29/1996,11,1996,0.875,0.905
12/31/1996,12,1996,0.92,0.875
1/31/1997,1,1997,0.81,0.92
2/28/1997,2,1997,0.835,0.81
3/31/1997,3,1997,1.035,0.835
4/30/1997,4,1997,1.135,1.035
5/30/1997,5,1997,1.405,1.135
6/30/1997,6,1997,1.21,1.405
7/31/1997,7,1997,1.0075,1.21
8/29/1997,8,1997,0.835,1.0075
9/30/1997,9,1997,0.78,0.835
10/31/1997,10,1997,0.715,0.78
11/28/1997,11,1997,0.67,0.715
12/31/1997,12,1997,0.8,0.67
1/30/1998,1,1998,0.96,0.8
2/27/1998,2,1998,0.86,0.96
3/31/1998,3,1998,0.8175,0.86
4/30/1998,4,1998,0.715,0.8175
5/29/1998,5,1998,0.6045,0.715
6/30/1998,6,1998,0.75,0.6045
7/31/1998,7,1998,0.719,0.75
8/31/1998,8,1998,0.649,0.719
9/30/1998,9,1998,0.52464,0.649
10/30/1998,10,1998,0.48,0.52464
11/30/1998,11,1998,0.5,0.48
12/31/1998,12,1998,0.793,0.5
1/29/1999,1,1999,0.72375,0.793
2/26/1999,2,1999,0.45,0.72375
3/31/1999,3,1999,0.38,0.45
4/30/1999,4,1999,0.29,0.38
5/31/1999,5,1999,0.2,0.29
6/30/1999,6,1999,0.52,0.2
7/30/1999,7,1999,0.5,0.52
8/31/1999,8,1999,0.51,0.5
9/30/1999,9,1999,0.36,0.51
10/29/1999,10,1999,0.37,0.36
11/30/1999,11,1999,0.485,0.37
12/31/1999,12,1999,0.47,0.485
1/31/2000,1,2000,0.51745,0.47
2/29/2000,2,2000,0.49,0.51745
3/31/2000,3,2000,0.61375,0.49
4/28/2000,4,2000,0.545,0.61375
5/31/2000,5,2000,0.495,0.545
6/30/2000,6,2000,0.625,0.495
7/31/2000,7,2000,0.495,0.625
8/31/2000,8,2000,0.7,0.495
9/29/2000,9,2000,0.675,0.7
10/31/2000,10,2000,0.63,0.675
11/30/2000,11,2000,0.55,0.63
12/29/2000,12,2000,0.545,0.55
1/31/2001,1,2001,0.4525,0.545
2/28/2001,2,2001,0.23,0.4525
3/30/2001,3,2001,0.195,0.23
4/30/2001,4,2001,0.1605,0.195
5/31/2001,5,2001,0.1245,0.1605
6/29/2001,6,2001,0.1315,0.1245
7/31/2001,7,2001,0.1525,0.1315
8/31/2001,8,2001,0.1435,0.1525
9/28/2001,9,2001,0.1455,0.1435
10/31/2001,10,2001,0.1505,0.1455
11/30/2001,11,2001,0.172,0.1505
12/31/2001,12,2001,0.15,0.172
1/31/2002,1,2002,0.16,0.15
2/28/2002,2,2002,0.1765,0.16
3/29/2002,3,2002,0.1605,0.1765
4/30/2002,4,2002,0.135,0.1605
5/31/2002,5,2002,0.153,0.135
6/28/2002,6,2002,0.135,0.153
7/31/2002,7,2002,0.1225,0.135
8/30/2002,8,2002,0.105,0.1225
9/30/2002,9,2002,0.137,0.105
10/31/2002,10,2002,0.1075,0.137
11/29/2002,11,2002,0.1305,0.1075
12/31/2002,12,2002,0.132,0.1305
1/31/2003,1,2003,0.122,0.132
2/28/2003,2,2003,0.1125,0.122
3/31/2003,3,2003,0.118,0.1125
4/30/2003,4,2003,0.108,0.118
5/30/2003,5,2003,0.09375,0.108
6/30/2003,6,2003,0.172,0.09375
7/31/2003,7,2003,0.129,0.172
8/29/2003,8,2003,0.273,0.129
9/30/2003,9,2003,0.295,0.273
10/31/2003,10,2003,0.272,0.295
11/28/2003,11,2003,0.2465,0.272
12/31/2003,12,2003,0.21,0.2465
1/30/2004,1,2004,0.147,0.21
2/27/2004,2,2004,0.152,0.147
3/31/2004,3,2004,0.217,0.152
4/30/2004,4,2004,0.21262,0.217
5/31/2004,5,2004,0.21725,0.21262
6/30/2004,6,2004,0.255,0.21725
7/30/2004,7,2004,0.305,0.255
8/31/2004,8,2004,0.21,0.305
9/30/2004,9,2004,0.199,0.21
10/29/2004,10,2004,0.203,0.199
11/30/2004,11,2004,0.1825,0.203
12/31/2004,12,2004,0.175,0.1825
1/31/2005,1,2005,0.1635,0.175
2/28/2005,2,2005,0.202,0.1635
3/31/2005,3,2005,0.185,0.202
4/29/2005,4,2005,0.147,0.185
5/31/2005,5,2005,0.146,0.147
6/30/2005,6,2005,0.127,0.146
7/29/2005,7,2005,0.1865,0.127
8/31/2005,8,2005,0.2025,0.1865
9/30/2005,9,2005,0.311,0.2025
10/31/2005,10,2005,0.3625,0.311
11/30/2005,11,2005,0.3175,0.3625
12/30/2005,12,2005,0.3625,0.3175
1/31/2006,1,2006,0.39,0.3625
2/28/2006,2,2006,0.61,0.39
3/31/2006,3,2006,0.8325,0.61
4/28/2006,4,2006,0.799,0.8325
5/31/2006,5,2006,0.91,0.799
6/30/2006,6,2006,0.9405,0.91
7/31/2006,7,2006,0.944,0.9405
8/31/2006,8,2006,0.7325,0.944
9/29/2006,9,2006,0.7695,0.7325
10/31/2006,10,2006,0.86125,0.7695
11/30/2006,11,2006,0.93375,0.86125
12/29/2006,12,2006,0.926,0.93375
1/31/2007,1,2007,0.85125,0.926
2/28/2007,2,2007,0.955,0.85125
3/30/2007,3,2007,0.94625,0.955
4/30/2007,4,2007,0.9875,0.94625
5/31/2007,5,2007,1.124,0.9875
6/29/2007,6,2007,1.193,1.124
7/31/2007,7,2007,1.169,1.193
8/31/2007,8,2007,1.0875,1.169
9/28/2007,9,2007,1.13,1.0875
10/31/2007,10,2007,1.015,1.13
11/30/2007,11,2007,1.02375,1.015
12/31/2007,12,2007,0.9325,1.02375
