Date,Month,Year,National
1/31/1996,1,1996,0.0377
2/29/1996,2,1996,0.0388
3/29/1996,3,1996,0.0377
4/30/1996,4,1996,0.0398
5/31/1996,5,1996,0.0378
6/28/1996,6,1996,0.0375
7/31/1996,7,1996,0.0385
8/30/1996,8,1996,0.0365
9/30/1996,9,1996,0.0355
10/31/1996,10,1996,0.034
11/29/1996,11,1996,0.0337
12/31/1996,12,1996,0.0362
1/31/1997,1,1997,0.0337
2/28/1997,2,1997,0.0339
3/31/1997,3,1997,0.0326
4/30/1997,4,1997,0.0338
5/30/1997,5,1997,0.0349
6/30/1997,6,1997,0.0332
7/31/1997,7,1997,0.0315
8/29/1997,8,1997,0.0307
9/30/1997,9,1997,0.03
10/31/1997,10,1997,0.0271
11/28/1997,11,1997,0.02945
12/31/1997,12,1997,0.0281
1/30/1998,1,1998,0.0294
2/27/1998,2,1998,0.0285
3/31/1998,3,1998,0.02805
4/30/1998,4,1998,0.0267
5/29/1998,5,1998,0.0249
6/30/1998,6,1998,0.0255
7/31/1998,7,1998,0.0249
8/31/1998,8,1998,0.025
9/30/1998,9,1998,0.0192
10/30/1998,10,1998,0.0192
11/30/1998,11,1998,0.0225
12/31/1998,12,1998,0.0311
1/29/1999,1,1999,0.0298
2/26/1999,2,1999,0.0291
3/31/1999,3,1999,0.0266
4/30/1999,4,1999,0.0241
5/31/1999,5,1999,0.0254
6/30/1999,6,1999,0.0302
7/30/1999,7,1999,0.0293
8/31/1999,8,1999,0.0293
9/30/1999,9,1999,0.0277
10/29/1999,10,1999,0.0277
11/30/1999,11,1999,0.0273
12/31/1999,12,1999,0.025275
1/31/2000,1,2000,0.02437
2/29/2000,2,2000,0.0259
3/31/2000,3,2000,0.023968
4/28/2000,4,2000,0.0243
5/31/2000,5,2000,0.0233
6/30/2000,6,2000,0.0244
7/31/2000,7,2000,0.0248
8/31/2000,8,2000,0.0268
9/29/2000,9,2000,0.0267
10/31/2000,10,2000,0.0274
11/30/2000,11,2000,0.0242
12/29/2000,12,2000,0.02465
1/31/2001,1,2001,0.022675
2/28/2001,2,2001,0.0199
3/30/2001,3,2001,0.02035
4/30/2001,4,2001,0.021525
5/31/2001,5,2001,0.020275
6/29/2001,6,2001,0.02
7/31/2001,7,2001,0.02125
8/31/2001,8,2001,0.021775
9/28/2001,9,2001,0.02185
10/31/2001,10,2001,0.020825
11/30/2001,11,2001,0.02015
12/31/2001,12,2001,0.021075
1/31/2002,1,2002,0.02221
2/28/2002,2,2002,0.021025
3/29/2002,3,2002,0.02075
4/30/2002,4,2002,0.020375
5/31/2002,5,2002,0.0206
6/28/2002,6,2002,0.019875
7/31/2002,7,2002,0.02007
8/30/2002,8,2002,0.01859
9/30/2002,9,2002,0.0187
10/31/2002,10,2002,0.016975
11/29/2002,11,2002,0.01655
12/31/2002,12,2002,0.01605
1/31/2003,1,2003,0.014175
2/28/2003,2,2003,0.0136625
3/31/2003,3,2003,0.0118937
4/30/2003,4,2003,0.01015
5/30/2003,5,2003,0.0101875
6/30/2003,6,2003,0.0126125
7/31/2003,7,2003,0.0148625
8/29/2003,8,2003,0.019475
9/30/2003,9,2003,0.01995
10/31/2003,10,2003,0.0207625
11/28/2003,11,2003,0.0190375
12/31/2003,12,2003,0.0196125
1/30/2004,1,2004,0.01915
2/27/2004,2,2004,0.018525
3/31/2004,3,2004,0.020325
4/30/2004,4,2004,0.02185
5/31/2004,5,2004,0.021675
6/30/2004,6,2004,0.0246625
7/30/2004,7,2004,0.025525
8/31/2004,8,2004,0.022825
9/30/2004,9,2004,0.02215
10/29/2004,10,2004,0.0223
11/30/2004,11,2004,0.022175
12/31/2004,12,2004,0.0217
1/31/2005,1,2005,0.0208875
2/28/2005,2,2005,0.022325
3/31/2005,3,2005,0.020825
4/29/2005,4,2005,0.020025
5/31/2005,5,2005,0.0204688
6/30/2005,6,2005,0.0194
7/29/2005,7,2005,0.0210625
8/31/2005,8,2005,0.0210125
9/30/2005,9,2005,0.0216875
10/31/2005,10,2005,0.022375
11/30/2005,11,2005,0.0219313
12/30/2005,12,2005,0.0219625
1/31/2006,1,2006,0.0226375
2/28/2006,2,2006,0.022775
3/31/2006,3,2006,0.024125
4/28/2006,4,2006,0.0258375
5/31/2006,5,2006,0.02505
6/30/2006,6,2006,0.0259
7/31/2006,7,2006,0.0258875
8/31/2006,8,2006,0.023375
9/29/2006,9,2006,0.023875
10/31/2006,10,2006,0.02405
11/30/2006,11,2006,0.0231875
12/29/2006,12,2006,0.02275
1/31/2007,1,2007,0.02335
2/28/2007,2,2007,0.02265
3/30/2007,3,2007,0.02315
4/30/2007,4,2007,0.022325
5/31/2007,5,2007,0.02374
6/29/2007,6,2007,0.024975
7/31/2007,7,2007,0.024825
8/31/2007,8,2007,0.0229625
9/28/2007,9,2007,0.0233625
10/31/2007,10,2007,0.023525
11/30/2007,11,2007,0.022225
12/31/2007,12,2007,0.0224875
1/31/2008,1,2008,0.0222625
2/29/2008,2,2008,0.02155
3/31/2008,3,2008,0.0204
4/30/2008,4,2008,0.022775
5/30/2008,5,2008,0.0243875
6/30/2008,6,2008,0.0234
7/31/2008,7,2008,0.0226
8/29/2008,8,2008,0.0220125
9/30/2008,9,2008,0.0215
10/31/2008,10,2008,0.019475
11/28/2008,11,2008,0.018375
12/31/2008,12,2008,0.0164125
1/30/2009,1,2009,0.015775
2/27/2009,2,2009,0.016775
3/31/2009,3,2009,0.017905
