Date,Month,Year,Med-Price Single-Fam home,Monthly mortgage rate,Princp.&,National,Fimily Income,Qualifying Income,Composite,Fixed ,ARM
1/1/1981,1,1981,64500,13.67,598,33.9,21137,28701,73.6,73.6,73.6
2/1/1981,2,1981,64100,14.16,614,34.7,21251,29477,72.1,72.1,72.1
3/1/1981,3,1981,64400,14.38,626,35.2,21364,30047,71.1,71.1,71.1
4/1/1981,4,1981,65300,14.47,638,35.7,21478,30646,70.1,70.1,70.1
5/1/1981,5,1981,66300,14.66,656,36.5,21592,31501,68.5,68.5,68.5
6/1/1981,6,1981,67700,15,680,37.6,21706,32622,66.5,66.5,66.5
7/1/1981,7,1981,67500,15.28,695,38.2,21819,33355,65.4,65.4,65.4
8/1/1981,8,1981,68100,15.54,712,39,21933,34198,64.1,64.1,64.1
9/1/1981,9,1981,67100,15.93,719,39.1,22047,34504,63.9,63.9,63.9
10/1/1981,10,1981,66000,16,710,38.5,22161,34102,65,65,65
11/1/1981,11,1981,65900,16.38,725,39.1,22274,34806,64,64,64
12/1/1981,12,1981,66600,16.04,718,38.5,22388,34474,64.9,64.9,64.9
1/1/1982,1,1982,66400,15.92,711,38,22475,34124,65.9,65.9,65.9
2/1/1982,2,1982,66900,16,708,37.7,22562,33988,66.4,66.4,66.4
3/1/1982,3,1982,67000,15.65,706,37.4,22649,33873,66.9,66.9,66.9
4/1/1982,4,1982,67100,16,722,38.1,22736,34650,65.6,65.6,65.6
5/1/1982,5,1982,67800,16.11,734,38.6,22823,35242,64.8,64.8,64.8
6/1/1982,6,1982,69400,16,727,38.1,22910,34893,65.7,65.7,65.7
7/1/1982,7,1982,69200,15.52,723,37.7,22998,34707,66.3,66.2,66.3
8/1/1982,8,1982,68900,15.59,723,37.6,23085,34706,66.5,66.3,66.8
9/1/1982,9,1982,67300,15.27,692,35.9,23172,33236,69.7,69.4,70.1
10/1/1982,10,1982,66900,15,675,34.8,23259,32380,71.8,71.2,72.8
11/1/1982,11,1982,67700,14,654,33.6,23346,31401,74.3,74.1,74.8
12/1/1982,12,1982,67800,14,641,32.8,23433,30609,76.2,75.9,76.9
1/1/1983,1,1983,68100,14,626,31.9,23529,30035,78.3,78.3,78.4
2/1/1983,2,1983,68200,13,621,31.5,23624,29791,79.3,78.8,80.3
3/1/1983,3,1983,68900,13,612,31,23720,29371,80.8,80.2,82.1
4/1/1983,4,1983,68800,13,604,30.4,23815,28977,82.2,81.8,83.1
5/1/1983,5,1983,69200,13,605,30.3,23911,29021,82.4,81.7,84.3
6/1/1983,6,1983,71400,13,617,30.8,24006,29624,81,80.2,83.1
7/1/1983,7,1983,71800,13,619,30.8,24102,29704,81.1,80.2,84
8/1/1983,8,1983,71500,13,620,30.8,24198,29772,81.3,79.5,84.6
9/1/1983,9,1983,69900,13,612,30.2,24293,29378,82.7,80.5,85.3
10/1/1983,10,1983,69800,13,602,29.6,24389,28918,84.3,81.6,86.9
11/1/1983,11,1983,70400,13,605,29.6,24484,29020,84.4,81.3,87
12/1/1983,12,1983,69900,12,592,28.9,24580,28418,86.5,82.5,89.5
1/1/1984,1,1984,70700,12,589,28.6,24734,28260,87.5,83.2,90.6
2/1/1984,2,1984,71400,12,596,28.7,24889,28604,87,82.5,90.3
3/1/1984,3,1984,71800,12.17,598,28.7,25043,28721,87.2,83.2,89.8
4/1/1984,4,1984,72100,12.07,596,28.4,25198,28628,88,82.4,91.8
5/1/1984,5,1984,72700,12.1,603,28.5,25352,28931,87.6,82.6,90.7
6/1/1984,6,1984,73400,12.26,616,29,25507,29557,86.3,80.9,89.2
7/1/1984,7,1984,74200,12.53,635,29.7,25661,30476,84.2,78.5,87.3
8/1/1984,8,1984,73500,12.75,639,29.7,25815,30671,84.2,79.1,86.7
9/1/1984,9,1984,71900,12.91,632,29.2,25970,30348,85.6,81.2,87.8
10/1/1984,10,1984,71900,13.04,638,29.3,26124,30628,85.3,81,87.9
11/1/1984,11,1984,71900,12.89,631,28.8,26279,30305,86.7,83.3,88.7
12/1/1984,12,1984,72100,12.77,628,28.5,26433,30130,87.7,85.6,90.1
1/1/1985,1,1985,73800,12.61,635,28.7,26542,30487,87.1,84.3,89.9
2/1/1985,2,1985,74000,12.39,627,28.2,26650,30085,88.7,85.3,93
3/1/1985,3,1985,74600,12.19,623,27.9,26759,29886,89.7,85.2,94.7
4/1/1985,4,1985,74800,12.11,621,27.6,26867,29788,90.4,85.5,96
5/1/1985,5,1985,75200,12.11,624,27.7,26976,29948,90.4,85,96
6/1/1985,6,1985,76500,11.76,618,27.3,27084,29675,91.6,85.6,96.3
7/1/1985,7,1985,76700,11.47,606,26.8,27193,29099,93.4,87.7,98.7
8/1/1985,8,1985,77200,11.33,604,26.5,27301,28973,94.2,88.7,100.6
9/1/1985,9,1985,75900,11.2,587,25.7,27410,28197,97.2,91.3,104.1
10/1/1985,10,1985,75200,11.32,588,25.6,27518,28201,97.6,91.6,104.8
11/1/1985,11,1985,74900,11.26,582,25.3,27627,27957,98.8,93.1,106.7
12/1/1985,12,1985,75500,11.12,581,25.1,27735,27873,99.5,93.8,106.8
1/1/1986,1,1986,77100,10.81,579,24.9,27879,27771,99.5,96,105.8
2/1/1986,2,1986,77400,10.83,582,25,28022,27923,100.4,97.1,105.8
3/1/1986,3,1986,79800,10.62,590,25.2,28166,28306,99.5,97.4,104.6
4/1/1986,4,1986,80200,10.4,581,24.7,28309,27872,101.6,99.9,103.8
5/1/1986,5,1986,83200,10.2,592,25,28453,28392,100.2,99,103.8
6/1/1986,6,1986,82600,10.2,590,24.9,28596,28305,101,99.6,106.9
7/1/1986,7,1986,79900,10.3,573,24.1,28740,27517,104.4,102.4,110.7
8/1/1986,8,1986,82000,10.3,588,24.6,28884,28240,102.3,99.5,110.4
9/1/1986,9,1986,80300,10.1,568,23.6,29027,27243,106.6,103.2,113.9
10/1/1986,10,1986,79400,10,556,23,29171,26689,109.3,105.5,118.1
11/1/1986,11,1986,80400,9.8,557,23,29314,26729,109.7,105.7,119
12/1/1986,12,1986,80800,9.7,551,22.6,29458,26430,111.5,107.1,119.8
1/1/1987,1,1987,82900,9.5,589,23.9,29584,28294,104.6,107.5,117.6
2/1/1987,2,1987,85600,9.2,573,23.2,29710,27513,108,107.5,117.1
3/1/1987,3,1987,85200,9.09,567,22.8,29836,27222,109.6,110.2,119.9
