Date,Year,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
7/1/1971,1971,1.53%,4.27%,6.78%,2.55%,1.88%,4.25%,0.95%,3.03%,-0.91%,5.40%,2.69%,4.12%,3.61%,0.83%,1.12%,0.93%,-0.11%,2.40%,1.81%,2.18%,2.41%,0.85%,1.04%,1.24%,2.18%,1.03%,2.36%,1.30%,6.40%,3.28%,1.53%,3.61%,0.64%,2.34%,1.45%,0.73%,2.31%,2.84%,0.73%,1.41%,2.76%,0.76%,2.23%,2.78%,3.96%,2.16%,2.14%,1.01%,1.51%,1.00%,2.37%
7/1/1972,1972,1.21%,2.84%,5.93%,2.35%,1.18%,4.39%,0.25%,1.45%,-1.01%,4.93%,2.08%,3.33%,3.31%,0.44%,0.93%,0.30%,0.44%,1.14%,1.38%,1.86%,1.37%,0.40%,0.61%,0.42%,1.84%,0.70%,1.11%,0.96%,5.15%,2.53%,0.74%,2.37%,-0.10%,1.88%,0.70%,0.11%,1.53%,2.15%,0.18%,1.21%,2.14%,0.88%,2.02%,2.17%,3.11%,1.94%,1.55%,0.01%,1.52%,0.90%,2.07%
7/1/1973,1973,1.14%,1.87%,5.78%,2.01%,1.38%,3.79%,-0.03%,0.85%,-1.45%,5.35%,2.10%,2.81%,2.47%,-0.01%,0.68%,0.12%,0.41%,1.06%,0.71%,1.10%,0.60%,0.36%,0.54%,0.51%,1.84%,0.50%,1.12%,0.69%,4.06%,2.54%,-0.03%,2.49%,-0.89%,1.67%,0.25%,0.19%,1.40%,2.03%,-0.15%,0.10%,2.11%,0.22%,1.29%,2.21%,3.05%,1.14%,1.59%,0.90%,0.48%,0.48%,1.93%
7/1/1974,1974,1.31%,3.18%,4.65%,2.05%,1.46%,1.82%,0.20%,0.63%,-1.85%,4.87%,1.81%,1.92%,3.31%,0.10%,0.44%,0.13%,0.17%,1.34%,0.84%,1.28%,0.51%,-0.13%,0.44%,0.38%,1.22%,0.28%,1.32%,0.63%,4.89%,1.87%,-0.01%,2.33%,-0.70%,1.50%,0.30%,-0.01%,1.44%,1.92%,-0.17%,-2.57%,2.45%,0.13%,1.59%,2.07%,2.60%,0.98%,1.42%,2.05%,0.50%,0.48%,3.23%
7/1/1975,1975,1.44%,10.29%,2.77%,2.77%,1.72%,1.76%,0.27%,0.89%,-1.54%,2.65%,1.29%,2.09%,2.97%,0.26%,0.07%,0.46%,0.49%,1.51%,1.73%,1.22%,0.49%,-0.27%,0.00%,0.73%,0.89%,0.26%,1.60%,0.26%,3.88%,1.55%,0.07%,2.53%,-0.26%,1.39%,0.68%,0.04%,1.46%,1.95%,0.30%,-0.82%,2.01%,0.21%,1.47%,2.45%,2.96%,1.42%,1.54%,2.01%,1.48%,0.73%,4.43%
7/1/1976,1976,1.53%,6.59%,2.68%,0.49%,1.85%,1.78%,0.03%,0.61%,-2.06%,1.75%,1.36%,2.03%,3.00%,0.45%,0.43%,0.77%,0.90%,1.77%,1.66%,1.53%,0.28%,-0.24%,0.13%,0.82%,1.26%,0.64%,1.22%,0.51%,4.36%,2.01%,0.03%,2.53%,-0.35%,1.10%,1.08%,-0.16%,1.88%,2.09%,-0.07%,0.35%,1.43%,0.79%,1.67%,2.67%,3.15%,1.09%,1.48%,2.00%,2.02%,0.37%,4.00%
7/1/1977,1977,1.21%,0.62%,3.37%,1.79%,1.90%,2.43%,0.08%,0.28%,-2.18%,2.18%,1.69%,1.56%,3.09%,0.38%,0.68%,0.36%,0.85%,1.26%,1.62%,1.39%,0.46%,-0.10%,0.46%,0.62%,1.21%,0.50%,1.67%,0.38%,4.85%,2.90%,-0.04%,2.22%,-0.71%,1.38%,0.62%,0.17%,1.53%,2.88%,-0.03%,0.44%,1.63%,0.30%,1.75%,2.24%,3.50%,1.44%,1.39%,2.23%,1.52%,0.67%,4.13%
7/1/1978,1978,1.36%,0.33%,3.72%,1.54%,2.16%,2.62%,0.19%,0.50%,-1.80%,2.78%,1.46%,1.45%,3.08%,0.23%,0.82%,0.15%,0.65%,1.02%,1.35%,0.91%,0.34%,-0.03%,0.51%,0.65%,1.16%,0.54%,1.61%,0.45%,6.06%,2.50%,0.19%,1.84%,-0.74%,1.30%,0.24%,0.22%,1.65%,2.93%,-0.12%,0.17%,1.76%,0.01%,1.43%,2.33%,3.64%,1.26%,1.49%,2.99%,0.80%,0.42%,4.72%
7/1/1979,1979,0.90%,-0.50%,4.78%,1.26%,1.84%,2.98%,0.14%,0.03%,-2.26%,3.56%,1.99%,2.33%,2.41%,-0.14%,0.57%,-0.08%,0.65%,0.88%,1.70%,0.81%,0.18%,0.03%,0.53%,0.87%,0.77%,0.47%,0.64%,0.22%,6.38%,1.97%,0.21%,3.77%,-0.55%,1.11%,0.24%,0.03%,1.99%,2.77%,0.07%,-0.15%,1.51%,-0.04%,1.65%,2.87%,3.86%,1.46%,0.72%,3.31%,0.97%,0.79%,4.97%
4/1/1980,1980,0.71%,-0.22%,3.14%,0.66%,1.77%,1.43%,0.38%,-0.11%,-1.80%,3.40%,1.14%,1.19%,1.21%,0.26%,-0.20%,-0.07%,0.54%,0.52%,1.65%,0.19%,0.62%,-0.02%,-0.05%,0.63%,0.54%,0.09%,-0.08%,0.16%,4.59%,1.27%,-0.02%,1.41%,-0.15%,1.00%,-0.03%,-0.01%,1.68%,1.74%,-0.20%,-0.34%,1.02%,0.35%,0.67%,2.45%,2.87%,1.20%,0.73%,2.85%,0.39%,0.49%,3.34%
7/1/1981,1981,0.63%,4.14%,3.38%,0.30%,2.61%,3.04%,0.68%,0.28%,-0.23%,4.58%,1.93%,1.40%,1.94%,0.15%,-0.18%,-0.20%,0.90%,0.26%,1.84%,0.74%,1.07%,0.55%,-0.57%,0.88%,0.73%,0.31%,1.10%,0.55%,5.89%,1.74%,0.58%,2.29%,0.06%,1.27%,1.04%,-0.09%,2.34%,1.32%,-0.04%,0.62%,1.84%,-0.17%,0.80%,3.63%,3.73%,0.81%,1.82%,2.51%,0.23%,0.44%,4.72%
7/1/1982,1982,0.17%,7.44%,2.84%,0.05%,2.20%,2.81%,0.33%,0.53%,-0.43%,2.73%,1.46%,1.59%,1.20%,-0.18%,-0.23%,-0.68%,0.69%,0.36%,1.62%,0.32%,0.49%,0.04%,-1.02%,0.48%,0.70%,-0.05%,1.09%,0.21%,4.00%,1.18%,0.32%,2.33%,0.13%,1.05%,1.44%,-0.29%,3.55%,-0.11%,-0.11%,0.12%,0.89%,0.15%,0.40%,3.97%,2.83%,0.68%,0.89%,0.96%,-0.23%,0.05%,2.99%
7/1/1983,1983,0.23%,8.63%,2.74%,0.50%,2.18%,2.35%,0.74%,1.05%,-0.27%,2.66%,1.39%,1.91%,0.84%,-0.13%,-0.32%,-0.61%,0.60%,0.30%,0.98%,0.71%,0.71%,0.49%,-0.74%,0.24%,0.43%,0.29%,1.25%,0.16%,2.32%,1.10%,0.50%,2.24%,0.55%,0.96%,1.15%,-0.18%,2.63%,-0.44%,-0.06%,0.23%,0.82%,0.35%,0.30%,2.74%,2.35%,0.81%,1.31%,0.55%,-0.23%,-0.16%,0.78%
