Date,Month,Year,National
1/1/1949,1,1949,2
2/1/1949,2,1949,2
3/1/1949,3,1949,2
4/1/1949,4,1949,2
5/1/1949,5,1949,2
6/1/1949,6,1949,2
7/1/1949,7,1949,2
8/1/1949,8,1949,2
9/1/1949,9,1949,2
10/1/1949,10,1949,2
11/1/1949,11,1949,2
12/1/1949,12,1949,2
1/1/1950,1,1950,2
2/1/1950,2,1950,2
3/1/1950,3,1950,2
4/1/1950,4,1950,2
5/1/1950,5,1950,2
6/1/1950,6,1950,2
7/1/1950,7,1950,2
8/1/1950,8,1950,2
9/1/1950,9,1950,2.08
10/1/1950,10,1950,2.25
11/1/1950,11,1950,2.25
12/1/1950,12,1950,2.25
1/1/1951,1,1951,2.44
2/1/1951,2,1951,2.5
3/1/1951,3,1951,2.5
4/1/1951,4,1951,2.5
5/1/1951,5,1951,2.5
6/1/1951,6,1951,2.5
7/1/1951,7,1951,2.5
8/1/1951,8,1951,2.5
9/1/1951,9,1951,2.5
10/1/1951,10,1951,2.62
11/1/1951,11,1951,2.75
12/1/1951,12,1951,2.85
1/1/1952,1,1952,3
2/1/1952,2,1952,3
3/1/1952,3,1952,3
4/1/1952,4,1952,3
5/1/1952,5,1952,3
6/1/1952,6,1952,3
7/1/1952,7,1952,3
8/1/1952,8,1952,3
9/1/1952,9,1952,3
10/1/1952,10,1952,3
11/1/1952,11,1952,3
12/1/1952,12,1952,3
1/1/1953,1,1953,3
2/1/1953,2,1953,3
3/1/1953,3,1953,3
4/1/1953,4,1953,3.03
5/1/1953,5,1953,3.25
6/1/1953,6,1953,3.25
7/1/1953,7,1953,3.25
8/1/1953,8,1953,3.25
9/1/1953,9,1953,3.25
10/1/1953,10,1953,3.25
11/1/1953,11,1953,3.25
12/1/1953,12,1953,3.25
1/1/1954,1,1954,3.25
2/1/1954,2,1954,3.25
3/1/1954,3,1954,3.13
4/1/1954,4,1954,3
5/1/1954,5,1954,3
6/1/1954,6,1954,3
7/1/1954,7,1954,3
8/1/1954,8,1954,3
9/1/1954,9,1954,3
10/1/1954,10,1954,3
11/1/1954,11,1954,3
12/1/1954,12,1954,3
1/1/1955,1,1955,3
2/1/1955,2,1955,3
3/1/1955,3,1955,3
4/1/1955,4,1955,3
5/1/1955,5,1955,3
6/1/1955,6,1955,3
7/1/1955,7,1955,3
8/1/1955,8,1955,3.23
9/1/1955,9,1955,3.25
10/1/1955,10,1955,3.4
11/1/1955,11,1955,3.5
12/1/1955,12,1955,3.5
1/1/1956,1,1956,3.5
2/1/1956,2,1956,3.5
3/1/1956,3,1956,3.5
4/1/1956,4,1956,3.65
5/1/1956,5,1956,3.75
6/1/1956,6,1956,3.75
7/1/1956,7,1956,3.75
8/1/1956,8,1956,3.84
9/1/1956,9,1956,4
10/1/1956,10,1956,4
11/1/1956,11,1956,4
12/1/1956,12,1956,4
1/1/1957,1,1957,4
2/1/1957,2,1957,4
3/1/1957,3,1957,4
4/1/1957,4,1957,4
5/1/1957,5,1957,4
6/1/1957,6,1957,4
7/1/1957,7,1957,4
8/1/1957,8,1957,4.42
9/1/1957,9,1957,4.5
10/1/1957,10,1957,4.5
11/1/1957,11,1957,4.5
12/1/1957,12,1957,4.5
1/1/1958,1,1958,4.34
2/1/1958,2,1958,4
3/1/1958,3,1958,4
4/1/1958,4,1958,3.83
5/1/1958,5,1958,3.5
6/1/1958,6,1958,3.5
7/1/1958,7,1958,3.5
8/1/1958,8,1958,3.5
9/1/1958,9,1958,3.83
10/1/1958,10,1958,4
11/1/1958,11,1958,4
12/1/1958,12,1958,4
1/1/1959,1,1959,4
2/1/1959,2,1959,4
3/1/1959,3,1959,4
4/1/1959,4,1959,4
5/1/1959,5,1959,4.23
6/1/1959,6,1959,4.5
7/1/1959,7,1959,4.5
8/1/1959,8,1959,4.5
9/1/1959,9,1959,5
10/1/1959,10,1959,5
11/1/1959,11,1959,5
12/1/1959,12,1959,5
1/1/1960,1,1960,5
2/1/1960,2,1960,5
3/1/1960,3,1960,5
4/1/1960,4,1960,5
5/1/1960,5,1960,5
6/1/1960,6,1960,5
7/1/1960,7,1960,5
8/1/1960,8,1960,4.85
9/1/1960,9,1960,4.5
10/1/1960,10,1960,4.5
11/1/1960,11,1960,4.5
12/1/1960,12,1960,4.5
1/1/1961,1,1961,4.5
2/1/1961,2,1961,4.5
3/1/1961,3,1961,4.5
4/1/1961,4,1961,4.5
5/1/1961,5,1961,4.5
6/1/1961,6,1961,4.5
7/1/1961,7,1961,4.5
8/1/1961,8,1961,4.5
9/1/1961,9,1961,4.5
10/1/1961,10,1961,4.5
11/1/1961,11,1961,4.5
12/1/1961,12,1961,4.5
1/1/1962,1,1962,4.5
2/1/1962,2,1962,4.5
3/1/1962,3,1962,4.5
4/1/1962,4,1962,4.5
5/1/1962,5,1962,4.5
6/1/1962,6,1962,4.5
7/1/1962,7,1962,4.5
8/1/1962,8,1962,4.5
9/1/1962,9,1962,4.5
10/1/1962,10,1962,4.5
11/1/1962,11,1962,4.5
12/1/1962,12,1962,4.5
1/1/1963,1,1963,4.5
2/1/1963,2,1963,4.5
3/1/1963,3,1963,4.5
4/1/1963,4,1963,4.5
5/1/1963,5,1963,4.5
6/1/1963,6,1963,4.5
7/1/1963,7,1963,4.5
8/1/1963,8,1963,4.5
9/1/1963,9,1963,4.5
10/1/1963,10,1963,4.5
11/1/1963,11,1963,4.5
12/1/1963,12,1963,4.5
1/1/1964,1,1964,4.5
2/1/1964,2,1964,4.5
3/1/1964,3,1964,4.5
4/1/1964,4,1964,4.5
5/1/1964,5,1964,4.5
6/1/1964,6,1964,4.5
7/1/1964,7,1964,4.5
8/1/1964,8,1964,4.5
9/1/1964,9,1964,4.5
10/1/1964,10,1964,4.5
11/1/1964,11,1964,4.5
12/1/1964,12,1964,4.5
1/1/1965,1,1965,4.5
2/1/1965,2,1965,4.5
3/1/1965,3,1965,4.5
4/1/1965,4,1965,4.5
5/1/1965,5,1965,4.5
6/1/1965,6,1965,4.5
7/1/1965,7,1965,4.5
8/1/1965,8,1965,4.5
9/1/1965,9,1965,4.5
10/1/1965,10,1965,4.5
11/1/1965,11,1965,4.5
12/1/1965,12,1965,4.92
1/1/1966,1,1966,5
2/1/1966,2,1966,5
3/1/1966,3,1966,5.35
4/1/1966,4,1966,5.5
5/1/1966,5,1966,5.5
6/1/1966,6,1966,5.52
7/1/1966,7,1966,5.75
8/1/1966,8,1966,5.88
9/1/1966,9,1966,6
