Date,Month,Year,National
4/1/1980,4,1980,226546000
5/1/1980,5,1980,226740000
6/1/1980,6,1980,227016000
7/1/1980,7,1980,227225000
8/1/1980,8,1980,227453000
9/1/1980,9,1980,227690000
10/1/1980,10,1980,227924000
11/1/1980,11,1980,228122000
12/1/1980,12,1980,228289000
1/1/1981,1,1981,228446000
2/1/1981,2,1981,228578000
3/1/1981,3,1981,228730000
4/1/1981,4,1981,228906000
5/1/1981,5,1981,229077000
6/1/1981,6,1981,229260000
7/1/1981,7,1981,229466000
8/1/1981,8,1981,229685000
9/1/1981,9,1981,229913000
10/1/1981,10,1981,230139000
11/1/1981,11,1981,230318000
12/1/1981,12,1981,230480000
1/1/1982,1,1982,230645000
2/1/1982,2,1982,230798000
3/1/1982,3,1982,230954000
4/1/1982,4,1982,231127000
5/1/1982,5,1982,231288000
6/1/1982,6,1982,231468000
7/1/1982,7,1982,231664000
8/1/1982,8,1982,231869000
9/1/1982,9,1982,232079000
10/1/1982,10,1982,232297000
11/1/1982,11,1982,232475000
12/1/1982,12,1982,232641000
1/1/1983,1,1983,232803000
2/1/1983,2,1983,232951000
3/1/1983,3,1983,233092000
4/1/1983,4,1983,233263000
5/1/1983,5,1983,233405000
6/1/1983,6,1983,233600000
7/1/1983,7,1983,233792000
8/1/1983,8,1983,233988000
9/1/1983,9,1983,234191000
10/1/1983,10,1983,234396000
11/1/1983,11,1983,234567000
12/1/1983,12,1983,234721000
1/1/1984,1,1984,234868000
2/1/1984,2,1984,235007000
3/1/1984,3,1984,235155000
4/1/1984,4,1984,235317000
5/1/1984,5,1984,235470000
6/1/1984,6,1984,235635000
7/1/1984,7,1984,235825000
8/1/1984,8,1984,236026000
9/1/1984,9,1984,236237000
10/1/1984,10,1984,236453000
11/1/1984,11,1984,236634000
12/1/1984,12,1984,236789000
1/1/1985,1,1985,236938000
2/1/1985,2,1985,237070000
3/1/1985,3,1985,237198000
4/1/1985,4,1985,237365000
5/1/1985,5,1985,237537000
6/1/1985,6,1985,237729000
7/1/1985,7,1985,237924000
8/1/1985,8,1985,238139000
9/1/1985,9,1985,238363000
10/1/1985,10,1985,238580000
11/1/1985,11,1985,238778000
12/1/1985,12,1985,238948000
1/1/1986,1,1986,239109000
2/1/1986,2,1986,239260000
3/1/1986,3,1986,239402000
4/1/1986,4,1986,239568000
5/1/1986,5,1986,239746000
6/1/1986,6,1986,239937000
7/1/1986,7,1986,240133000
8/1/1986,8,1986,240340000
9/1/1986,9,1986,240556000
10/1/1986,10,1986,240762000
11/1/1986,11,1986,240952000
12/1/1986,12,1986,241105000
1/1/1987,1,1987,241267000
2/1/1987,2,1987,241414000
3/1/1987,3,1987,241566000
4/1/1987,4,1987,241740000
5/1/1987,5,1987,241910000
6/1/1987,6,1987,242095000
7/1/1987,7,1987,242289000
8/1/1987,8,1987,242496000
9/1/1987,9,1987,242708000
10/1/1987,10,1987,242931000
11/1/1987,11,1987,243123000
12/1/1987,12,1987,243291000
1/1/1988,1,1988,243462000
2/1/1988,2,1988,243611000
3/1/1988,3,1988,243758000
4/1/1988,4,1988,243925000
5/1/1988,5,1988,244093000
6/1/1988,6,1988,244286000
7/1/1988,7,1988,244499000
8/1/1988,8,1988,244717000
9/1/1988,9,1988,244942000
10/1/1988,10,1988,245172000
11/1/1988,11,1988,245364000
12/1/1988,12,1988,245537000
1/1/1989,1,1989,245705000
2/1/1989,2,1989,245859000
3/1/1989,3,1989,246009000
4/1/1989,4,1989,246199000
5/1/1989,5,1989,246384000
6/1/1989,6,1989,246591000
7/1/1989,7,1989,246819000
8/1/1989,8,1989,247053000
9/1/1989,9,1989,247299000
10/1/1989,10,1989,247550000
11/1/1989,11,1989,247764000
12/1/1989,12,1989,247962000
1/1/1990,1,1990,248143000
2/1/1990,2,1990,248309000
3/1/1990,3,1990,248495000
4/1/1990,4,1990,248791000
5/1/1990,5,1990,249000000
6/1/1990,6,1990,249231000
7/1/1990,7,1990,249464000
8/1/1990,8,1990,249712000
9/1/1990,9,1990,249964000
10/1/1990,10,1990,250214000
11/1/1990,11,1990,250394000
12/1/1990,12,1990,250567000
