Date,2 Year,5 Year,10 Year,30 Year,,
12/30/1988,4.89,5.05,5.17,10.73,,
1/31/1989,5.05,5.15,5.22,10.51,,
2/28/1989,5.12,5.2,5.2,10.91,,
3/31/1989,5.14,5.21,5.28,11.13,,
4/28/1989,5.24,5.31,5.45,10.9,,
5/31/1989,5.44,5.45,5.53,10.42,,
6/30/1989,5.42,5.42,5.52,9.99,,
7/31/1989,5.33,5.3,5.3,9.61,,
8/31/1989,5.41,5.39,5.36,10.18,,
9/29/1989,5.53,5.51,5.47,10.16,,
10/31/1989,6.29,6.16,5.84,9.82,,
11/30/1989,6.53,6.41,6.08,9.75,,
12/29/1989,6.66,6.59,6.22,9.87,,
1/31/1990,7.32,7.2,6.91,10.17,,
2/28/1990,7.51,7.36,7.15,10.21,,
3/30/1990,7.82,7.51,7.3,10.3,,
4/30/1990,7.64,7.37,7.26,10.69,,
5/31/1990,7.28,6.95,6.86,10.19,,
6/29/1990,7.47,7.25,7.03,10.01,,
7/31/1990,7.78,7.53,7.36,9.72,,
8/31/1990,8.4,8.06,7.86,10.18,,
9/28/1990,8.83,8.39,8.03,10.11,,
10/31/1990,8.17,7.56,7.37,10.11,,
11/30/1990,7.89,7.41,7.25,9.82,,
12/31/1990,7.4,7.16,6.89,9.64,,
1/31/1991,7.37,7.06,6.74,9.48,,
2/28/1991,7.15,6.95,6.66,9.44,,
3/29/1991,7.32,7.22,6.88,9.54,,
4/30/1991,7.36,7.31,7.08,9.42,,
5/31/1991,7.29,7.22,7.06,9.38,,
6/28/1991,7.44,7.32,7.17,9.55,,
7/31/1991,6.99,6.97,6.88,9.34,,
8/30/1991,6.61,6.59,6.58,9.13,,
9/30/1991,6.1,6.16,6.26,8.77,,
10/31/1991,5.92,6.15,6.2,8.57,,
11/29/1991,5.82,6.06,6.18,8.63,,
12/31/1991,5.37,5.66,5.82,7.97,,
1/31/1992,5.08,5.6,5.83,8.58,,
2/28/1992,5.27,5.79,5.92,8.51,,
3/31/1992,5.13,5.72,5.86,8.8,,
4/30/1992,5.12,5.82,6.07,8.67,,
5/29/1992,5.08,5.75,5.96,8.37,,
6/30/1992,4.65,5.38,5.79,8.22,,
7/31/1992,4.04,4.87,5.54,7.87,,
8/31/1992,4.33,4.93,5.57,7.7,,
9/30/1992,4,4.78,5.29,7.59,,
10/30/1992,3.91,4.74,5.26,8.13,,
11/30/1992,3.95,4.76,5.31,8.21,,
12/31/1992,3.86,4.67,5.18,7.95,,
1/29/1993,3.65,4.5,5,7.52,,
2/26/1993,3.49,4.33,4.68,7.28,,
3/31/1993,3.72,4.62,4.93,7.25,,
4/30/1993,3.74,4.76,5.08,7.31,,
5/31/1993,3.84,4.84,5.14,7.39,,
6/30/1993,3.58,4.61,4.99,7,,
7/30/1993,3.32,4.4,4.825,6.99,,
8/31/1993,2.98,3.98,4.605,6.67,,
9/30/1993,2.84,3.68,4.28,6.66,,
10/29/1993,2.43,3.34,4.085,6.71,,
11/30/1993,1.95,2.85,3.86,7.16,,
12/31/1993,1.81,2.75,3.62,7.13,,
1/31/1994,2.38,3.31,4.17,6.8,,
2/28/1994,2.8,3.86,4.49,7.35,,
3/31/1994,2.77,3.82,4.36,8.15,,
4/29/1994,3.03,4,4.37,8.44,,
5/31/1994,2.95,3.87,4.32,8.54,,
6/30/1994,3.05,4.19,4.61,8.7,,
7/29/1994,3.05,4.2,4.675,8.41,,
8/31/1994,3.43,4.59,4.94,8.49,,
9/30/1994,3.32,4.39,4.79,8.9,,
10/31/1994,3.48,4.51,4.85,9.07,,
11/30/1994,3.35,4.38,4.78,9.31,,
12/30/1994,3.135,4.235,4.715,9.29,,
1/31/1995,3.1,4.28,4.8,9.03,,
2/28/1995,2.85,4,4.58,8.66,,
3/31/1995,2,3.13,3.835,8.64,,
4/28/1995,1.955,3.005,3.7,8.46,,
5/31/1995,1.255,2.305,3.195,7.79,,
6/30/1995,1.225,2.275,3.115,7.81,,
7/31/1995,1.035,2.34,3.145,7.93,,
8/31/1995,1.21,2.6,3.45,7.79,,
9/29/1995,0.875,2.18,3.04,7.72,,
10/31/1995,0.845,2.18,3.17,7.6,,
11/30/1995,0.73,2.06,3.09,7.35,,
12/29/1995,0.935,2.32,3.35,7.27,,
1/31/1996,1.18,2.5,3.385,7.06,,
2/29/1996,1.6605,2.835,3.55,7.63,,
3/29/1996,1.44,2.54,3.33,8,,
4/30/1996,1.736,2.905,3.6,8.19,,
5/31/1996,1.445,2.65,3.3975,8.39,,
6/28/1996,1.538,2.6825,3.395,8.18,,
7/31/1996,1.6,2.78,3.47,8.25,,
8/30/1996,1.08,2.27,3.19,8.43,,
9/30/1996,1.115,2.26,3.12,8.17,,
10/31/1996,0.905,1.96,2.88,7.84,,
11/29/1996,0.875,1.84,2.78,7.62,,
12/31/1996,0.92,2.005,3.005,7.93,,
1/31/1997,0.81,1.805,2.79,7.94,,
2/28/1997,0.835,1.825,2.82,7.97,,
3/31/1997,1.035,1.865,2.675,8.29,,
4/30/1997,1.135,1.97,2.805,8.11,,
5/30/1997,1.405,2.28,2.995,8.04,,
6/30/1997,1.21,2.045,2.82,7.81,,
7/31/1997,1.0075,1.8125,2.5975,7.47,,
8/29/1997,0.835,1.7,2.495,7.56,,
9/30/1997,0.78,1.58,2.41,7.46,,
10/31/1997,0.715,1.4125,2.14,7.34,,
11/28/1997,0.67,1.48,2.31,7.32,,
12/31/1997,0.8,1.465,2.22,7.16,,
1/30/1998,0.96,1.65,2.38,7.01,,
2/27/1998,0.86,1.535,2.28,7.07,,
