Date,Month,Year,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1/1/1997,1,1997,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1/1997,2,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/1997,3,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1/1997,4,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5/1/1997,5,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/1/1997,6,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/1997,7,1997,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/1/1997,8,1997,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/1997,9,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/1/1997,10,1997,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11/1/1997,11,1997,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
12/1/1997,12,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1/1/1998,1,1998,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2/1/1998,2,1998,0,0,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3/1/1998,3,1998,0,0,0,0,3,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
4/1/1998,4,1998,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/1/1998,5,1998,0,0,2,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0
6/1/1998,6,1998,0,0,0,0,8,1,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0
7/1/1998,7,1998,0,0,0,0,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0
8/1/1998,8,1998,1,0,1,0,4,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0
9/1/1998,9,1998,0,0,0,0,15,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,1,0,0,0
10/1/1998,10,1998,0,0,1,0,5,1,1,0,1,2,6,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,1,0,0,1,0,0,0
11/1/1998,11,1998,0,0,0,0,5,0,1,0,0,4,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
12/1/1998,12,1998,0,0,1,0,9,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,1,0,3,1,0,0,0,0,0,0,2,2,0,0,1,0,0,0
1/1/1999,1,1999,1,0,1,0,11,4,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,3,0,0,1,0,0,0
2/1/1999,2,1999,0,0,1,1,4,0,0,0,0,5,4,0,1,0,1,0,0,0,0,0,0,3,2,0,0,2,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,4,0,0,1,4,0,0,0
3/1/1999,3,1999,0,0,2,2,11,0,1,0,2,2,5,0,1,0,0,0,0,1,0,0,4,4,1,1,0,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,3,4,0,2,0,0,1,0
4/1/1999,4,1999,0,0,1,0,8,3,1,1,2,8,2,1,1,4,1,0,0,0,0,0,3,0,0,2,0,4,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,1,2,0,1,0
5/1/1999,5,1999,0,0,0,1,15,2,1,0,0,8,5,0,0,4,0,0,0,2,2,0,6,0,2,3,2,3,1,0,0,1,1,1,0,2,1,1,1,2,2,0,1,0,6,3,3,0,3,5,0,1,0
6/1/1999,6,1999,2,0,3,0,14,5,4,0,0,0,5,0,3,6,2,0,1,0,1,0,7,2,3,1,1,2,1,0,2,0,1,1,1,2,0,3,1,1,2,0,3,0,4,7,5,0,0,3,0,1,0
7/1/1999,7,1999,0,0,0,1,39,7,0,0,0,16,18,1,4,4,6,0,2,1,3,1,1,3,1,3,1,7,0,1,0,0,2,0,2,2,0,7,2,2,2,0,1,1,2,4,11,0,5,9,0,2,0
8/1/1999,8,1999,1,0,3,0,52,5,2,0,4,16,7,0,0,13,4,2,2,2,1,0,4,3,9,2,1,6,2,0,3,0,3,1,2,4,0,5,5,4,5,2,1,0,7,13,13,0,2,7,2,1,1
9/1/1999,9,1999,1,0,4,0,31,6,3,0,3,19,6,0,4,13,6,1,0,1,3,0,8,1,8,4,0,9,0,0,4,1,0,1,5,4,0,8,3,9,5,2,1,0,7,17,8,0,1,8,1,2,0
10/1/1999,10,1999,4,0,5,0,55,8,4,1,3,31,15,1,2,12,8,2,0,2,4,1,12,3,8,4,1,19,2,1,2,0,4,4,5,4,1,7,2,4,6,4,2,0,12,12,15,1,6,20,0,2,0
11/1/1999,11,1999,3,0,6,3,39,6,6,0,8,42,9,0,4,21,8,1,1,0,1,0,12,2,7,7,2,12,3,0,2,1,5,4,6,6,0,6,1,6,5,2,1,0,9,6,14,0,11,10,1,1,0
12/1/1999,12,1999,3,0,10,0,48,8,7,1,8,38,11,1,4,13,9,2,1,0,3,0,7,3,7,2,0,13,1,2,2,1,4,4,4,6,1,7,2,5,9,1,3,1,11,14,14,0,5,17,0,2,0
1/1/2000,1,2000,1,0,8,4,47,6,6,0,3,36,10,3,5,19,11,1,1,1,3,0,12,10,11,9,2,17,1,1,6,0,8,5,9,5,0,13,4,10,12,6,5,0,11,19,8,0,3,12,3,1,1
2/1/2000,2,2000,2,1,6,1,39,8,4,3,3,43,12,1,7,17,10,3,2,0,6,0,10,2,11,3,2,18,2,2,4,1,5,2,10,8,0,11,5,6,6,3,4,0,15,22,13,0,2,19,0,6,1
