State,Quarter,Year,Data
AK,1,1975,61.27
AK,2,1975,59.31
AK,3,1975,67.36
AK,4,1975,70.87
AK,1,1976,69.65
AK,2,1976,68.18
AK,3,1976,73.1
AK,4,1976,75.46
AK,1,1977,78.94
AK,2,1977,76.12
AK,3,1977,75.75
AK,4,1977,82.15
AK,1,1978,80.21
AK,2,1978,83.94
AK,3,1978,86.7
AK,4,1978,86.03
AK,1,1979,87.58
AK,2,1979,97.89
AK,3,1979,92.35
AK,4,1979,92.13
AK,1,1980,100
AK,2,1980,82.75
AK,3,1980,80.77
AK,4,1980,86.13
AK,1,1981,93.19
AK,2,1981,108.22
AK,3,1981,112.59
AK,4,1981,126.56
AK,1,1982,130.62
AK,2,1982,125.9
AK,3,1982,137.03
AK,4,1982,133.74
AK,1,1983,134.94
AK,2,1983,141.16
AK,3,1983,142.91
AK,4,1983,141.96
AK,1,1984,147.62
AK,2,1984,144.32
AK,3,1984,149.96
AK,4,1984,147.97
AK,1,1985,141.18
AK,2,1985,141.7
AK,3,1985,141.91
AK,4,1985,138.35
AK,1,1986,137.9
AK,2,1986,140.85
AK,3,1986,136.2
AK,4,1986,132.85
AK,1,1987,129.39
AK,2,1987,121.25
AK,3,1987,112.62
AK,4,1987,101.91
AK,1,1988,117.44
AK,2,1988,112.74
AK,3,1988,122.3
AK,4,1988,128.38
AK,1,1989,124.61
AK,2,1989,101.08
AK,3,1989,101.33
AK,4,1989,99.43
AK,1,1990,95.54
AK,2,1990,108.87
AK,3,1990,118.33
AK,4,1990,116.08
AK,1,1991,120.78
AK,2,1991,123.71
AK,3,1991,127.43
AK,4,1991,127.46
AK,1,1992,129.08
AK,2,1992,130.36
AK,3,1992,131.19
AK,4,1992,132.13
AK,1,1993,131.46
AK,2,1993,132.14
AK,3,1993,134.48
AK,4,1993,135.09
AK,1,1994,136.15
AK,2,1994,139.35
AK,3,1994,141.26
AK,4,1994,139.95
AK,1,1995,142.58
AK,2,1995,144.72
AK,3,1995,146.09
AK,4,1995,146.62
AK,1,1996,149.04
AK,2,1996,151.66
AK,3,1996,151.93
AK,4,1996,154
AK,1,1997,153.86
AK,2,1997,154.85
AK,3,1997,156.27
AK,4,1997,158.05
