Date,Month,Year,National,PX_CLOSE_1D
12/30/1988,12,1988,0.0489,4.81
1/31/1989,1,1989,0.0505,4.89
2/28/1989,2,1989,0.0512,5.05
3/31/1989,3,1989,0.0514,5.12
4/28/1989,4,1989,0.0524,5.14
5/31/1989,5,1989,0.0544,5.24
6/30/1989,6,1989,0.0542,5.44
7/31/1989,7,1989,0.0533,5.42
8/31/1989,8,1989,0.0541,5.33
9/29/1989,9,1989,0.0553,5.41
10/31/1989,10,1989,0.0629,5.53
11/30/1989,11,1989,0.0653,6.29
12/29/1989,12,1989,0.0666,6.53
1/31/1990,1,1990,0.0732,6.66
2/28/1990,2,1990,0.0751,7.32
3/30/1990,3,1990,0.0782,7.51
4/30/1990,4,1990,0.0764,7.82
5/31/1990,5,1990,0.0728,7.64
6/29/1990,6,1990,0.0747,7.28
7/31/1990,7,1990,0.0778,7.47
8/31/1990,8,1990,0.084,7.78
9/28/1990,9,1990,0.0883,8.4
10/31/1990,10,1990,0.0817,8.83
11/30/1990,11,1990,0.0789,8.17
12/31/1990,12,1990,0.074,7.89
1/31/1991,1,1991,0.0737,7.4
2/28/1991,2,1991,0.0715,7.37
3/29/1991,3,1991,0.0732,7.15
4/30/1991,4,1991,0.0736,7.32
5/31/1991,5,1991,0.0729,7.36
6/28/1991,6,1991,0.0744,7.29
7/31/1991,7,1991,0.0699,7.44
8/30/1991,8,1991,0.0661,6.99
9/30/1991,9,1991,0.061,6.61
10/31/1991,10,1991,0.0592,6.1
11/29/1991,11,1991,0.0582,5.92
12/31/1991,12,1991,0.0537,5.82
1/31/1992,1,1992,0.0508,5.37
2/28/1992,2,1992,0.0527,5.08
3/31/1992,3,1992,0.0513,5.27
4/30/1992,4,1992,0.0512,5.13
5/29/1992,5,1992,0.0508,5.12
6/30/1992,6,1992,0.0465,5.08
7/31/1992,7,1992,0.0404,4.65
8/31/1992,8,1992,0.0433,4.04
9/30/1992,9,1992,0.04,4.33
10/30/1992,10,1992,0.0391,4
11/30/1992,11,1992,0.0395,3.91
12/31/1992,12,1992,0.0386,3.95
1/29/1993,1,1993,0.0365,3.86
2/26/1993,2,1993,0.0349,3.65
3/31/1993,3,1993,0.0372,3.49
4/30/1993,4,1993,0.0374,3.72
5/31/1993,5,1993,0.0384,3.74
6/30/1993,6,1993,0.0358,3.84
7/30/1993,7,1993,0.0332,3.58
8/31/1993,8,1993,0.0298,3.32
9/30/1993,9,1993,0.0284,2.98
10/29/1993,10,1993,0.0243,2.84
11/30/1993,11,1993,0.0195,2.43
12/31/1993,12,1993,0.0181,1.95
1/31/1994,1,1994,0.0238,1.81
2/28/1994,2,1994,0.028,2.38
3/31/1994,3,1994,0.0277,2.8
4/29/1994,4,1994,0.0303,2.77
5/31/1994,5,1994,0.0295,3.03
6/30/1994,6,1994,0.0305,2.95
7/29/1994,7,1994,0.0305,3.05
8/31/1994,8,1994,0.0343,3.05
9/30/1994,9,1994,0.0332,3.43
10/31/1994,10,1994,0.0348,3.32
11/30/1994,11,1994,0.0335,3.48
12/30/1994,12,1994,0.03135,3.35
1/31/1995,1,1995,0.031,3.135
2/28/1995,2,1995,0.0285,3.1
3/31/1995,3,1995,0.02,2.85
4/28/1995,4,1995,0.01955,2
5/31/1995,5,1995,0.01255,1.955
6/30/1995,6,1995,0.01225,1.255
7/31/1995,7,1995,0.01035,1.225
8/31/1995,8,1995,0.0121,1.035
9/29/1995,9,1995,0.00875,1.21
10/31/1995,10,1995,0.00845,0.875
11/30/1995,11,1995,0.0073,0.845
12/29/1995,12,1995,0.00935,0.73
1/31/1996,1,1996,0.0118,0.935
2/29/1996,2,1996,0.016605,1.18
3/29/1996,3,1996,0.0144,1.6605
4/30/1996,4,1996,0.01736,1.44
5/31/1996,5,1996,0.01445,1.736
6/28/1996,6,1996,0.01538,1.445
7/31/1996,7,1996,0.016,1.538
8/30/1996,8,1996,0.0108,1.6
9/30/1996,9,1996,0.01115,1.08
10/31/1996,10,1996,0.00905,1.115
11/29/1996,11,1996,0.00875,0.905
12/31/1996,12,1996,0.0092,0.875
1/31/1997,1,1997,0.0081,0.92
2/28/1997,2,1997,0.00835,0.81
3/31/1997,3,1997,0.01035,0.835
4/30/1997,4,1997,0.01135,1.035
5/30/1997,5,1997,0.01405,1.135
6/30/1997,6,1997,0.0121,1.405
7/31/1997,7,1997,0.010075,1.21
8/29/1997,8,1997,0.00835,1.0075
9/30/1997,9,1997,0.0078,0.835
10/31/1997,10,1997,0.00715,0.78
11/28/1997,11,1997,0.0067,0.715
12/31/1997,12,1997,0.008,0.67
1/30/1998,1,1998,0.0096,0.8
2/27/1998,2,1998,0.0086,0.96
3/31/1998,3,1998,0.008175,0.86
4/30/1998,4,1998,0.00715,0.8175
5/29/1998,5,1998,0.006045,0.715
6/30/1998,6,1998,0.0075,0.6045
7/31/1998,7,1998,0.00719,0.75
8/31/1998,8,1998,0.00649,0.719
9/30/1998,9,1998,0.0052464,0.649
10/30/1998,10,1998,0.0048,0.52464
11/30/1998,11,1998,0.005,0.48
12/31/1998,12,1998,0.00793,0.5
1/29/1999,1,1999,0.0072375,0.793
2/26/1999,2,1999,0.0045,0.72375
3/31/1999,3,1999,0.0038,0.45
4/30/1999,4,1999,0.0029,0.38
5/31/1999,5,1999,0.002,0.29
6/30/1999,6,1999,0.0052,0.2
7/30/1999,7,1999,0.005,0.52
8/31/1999,8,1999,0.0051,0.5
9/30/1999,9,1999,0.0036,0.51
10/29/1999,10,1999,0.0037,0.36
11/30/1999,11,1999,0.00485,0.37
