Date,Month,Year,National
1/31/1996,1,1996,3.77
2/29/1996,2,1996,3.88
3/29/1996,3,1996,3.77
4/30/1996,4,1996,3.98
5/31/1996,5,1996,3.78
6/28/1996,6,1996,3.75
7/31/1996,7,1996,3.85
8/30/1996,8,1996,3.65
9/30/1996,9,1996,3.55
10/31/1996,10,1996,3.4
11/29/1996,11,1996,3.37
12/31/1996,12,1996,3.62
1/31/1997,1,1997,3.37
2/28/1997,2,1997,3.39
3/31/1997,3,1997,3.26
4/30/1997,4,1997,3.38
5/30/1997,5,1997,3.49
6/30/1997,6,1997,3.32
7/31/1997,7,1997,3.15
8/29/1997,8,1997,3.07
9/30/1997,9,1997,3
10/31/1997,10,1997,2.71
11/28/1997,11,1997,2.945
12/31/1997,12,1997,2.81
1/30/1998,1,1998,2.94
2/27/1998,2,1998,2.85
3/31/1998,3,1998,2.805
4/30/1998,4,1998,2.67
5/29/1998,5,1998,2.49
6/30/1998,6,1998,2.55
7/31/1998,7,1998,2.49
8/31/1998,8,1998,2.5
9/30/1998,9,1998,1.92
10/30/1998,10,1998,1.92
11/30/1998,11,1998,2.25
12/31/1998,12,1998,3.11
1/29/1999,1,1999,2.98
2/26/1999,2,1999,2.91
3/31/1999,3,1999,2.66
4/30/1999,4,1999,2.41
5/31/1999,5,1999,2.54
6/30/1999,6,1999,3.02
7/30/1999,7,1999,2.93
8/31/1999,8,1999,2.93
9/30/1999,9,1999,2.77
10/29/1999,10,1999,2.77
11/30/1999,11,1999,2.73
12/31/1999,12,1999,2.5275
1/31/2000,1,2000,2.437
2/29/2000,2,2000,2.59
3/31/2000,3,2000,2.3968
4/28/2000,4,2000,2.43
5/31/2000,5,2000,2.33
6/30/2000,6,2000,2.44
7/31/2000,7,2000,2.48
8/31/2000,8,2000,2.68
9/29/2000,9,2000,2.67
10/31/2000,10,2000,2.74
11/30/2000,11,2000,2.42
12/29/2000,12,2000,2.465
1/31/2001,1,2001,2.2675
2/28/2001,2,2001,1.99
3/30/2001,3,2001,2.035
4/30/2001,4,2001,2.1525
5/31/2001,5,2001,2.0275
6/29/2001,6,2001,2
7/31/2001,7,2001,2.125
8/31/2001,8,2001,2.1775
9/28/2001,9,2001,2.185
10/31/2001,10,2001,2.0825
11/30/2001,11,2001,2.015
12/31/2001,12,2001,2.1075
1/31/2002,1,2002,2.221
2/28/2002,2,2002,2.1025
3/29/2002,3,2002,2.075
4/30/2002,4,2002,2.0375
5/31/2002,5,2002,2.06
6/28/2002,6,2002,1.9875
7/31/2002,7,2002,2.007
8/30/2002,8,2002,1.859
9/30/2002,9,2002,1.87
10/31/2002,10,2002,1.6975
11/29/2002,11,2002,1.655
12/31/2002,12,2002,1.605
1/31/2003,1,2003,1.4175
2/28/2003,2,2003,1.36625
3/31/2003,3,2003,1.18937
4/30/2003,4,2003,1.015
5/30/2003,5,2003,1.01875
6/30/2003,6,2003,1.26125
7/31/2003,7,2003,1.48625
8/29/2003,8,2003,1.9475
9/30/2003,9,2003,1.995
10/31/2003,10,2003,2.07625
11/28/2003,11,2003,1.90375
12/31/2003,12,2003,1.96125
1/30/2004,1,2004,1.915
2/27/2004,2,2004,1.8525
3/31/2004,3,2004,2.0325
4/30/2004,4,2004,2.185
5/31/2004,5,2004,2.1675
6/30/2004,6,2004,2.46625
7/30/2004,7,2004,2.5525
8/31/2004,8,2004,2.2825
9/30/2004,9,2004,2.215
10/29/2004,10,2004,2.23
11/30/2004,11,2004,2.2175
12/31/2004,12,2004,2.17
1/31/2005,1,2005,2.08875
2/28/2005,2,2005,2.2325
3/31/2005,3,2005,2.0825
4/29/2005,4,2005,2.0025
5/31/2005,5,2005,2.04688
6/30/2005,6,2005,1.94
7/29/2005,7,2005,2.10625
8/31/2005,8,2005,2.10125
9/30/2005,9,2005,2.16875
10/31/2005,10,2005,2.2375
11/30/2005,11,2005,2.19313
12/30/2005,12,2005,2.19625
1/31/2006,1,2006,2.26375
2/28/2006,2,2006,2.2775
3/31/2006,3,2006,2.4125
4/28/2006,4,2006,2.58375
5/31/2006,5,2006,2.505
6/30/2006,6,2006,2.59
7/31/2006,7,2006,2.58875
8/31/2006,8,2006,2.3375
9/29/2006,9,2006,2.3875
10/31/2006,10,2006,2.405
11/30/2006,11,2006,2.31875
12/29/2006,12,2006,2.275
1/31/2007,1,2007,2.335
2/28/2007,2,2007,2.265
3/30/2007,3,2007,2.315
4/30/2007,4,2007,2.2325
5/31/2007,5,2007,2.374
6/29/2007,6,2007,2.4975
7/31/2007,7,2007,2.4825
8/31/2007,8,2007,2.29625
9/28/2007,9,2007,2.33625
10/31/2007,10,2007,2.3525
11/30/2007,11,2007,2.2225
12/31/2007,12,2007,2.24875
1/31/2008,1,2008,2.22625
2/29/2008,2,2008,2.155
3/31/2008,3,2008,2.04
4/30/2008,4,2008,2.2775
5/30/2008,5,2008,2.43875
6/30/2008,6,2008,2.34
7/31/2008,7,2008,2.26
8/29/2008,8,2008,2.20125
9/30/2008,9,2008,2.15
10/31/2008,10,2008,1.9475
11/28/2008,11,2008,1.8375
12/31/2008,12,2008,1.64125
1/30/2009,1,2009,1.5775
2/27/2009,2,2009,1.6775
3/31/2009,3,2009,1.7905
