Date,Month,Year,National
1/1/1981,1,1981,21137
2/1/1981,2,1981,21251
3/1/1981,3,1981,21364
4/1/1981,4,1981,21478
5/1/1981,5,1981,21592
6/1/1981,6,1981,21706
7/1/1981,7,1981,21819
8/1/1981,8,1981,21933
9/1/1981,9,1981,22047
10/1/1981,10,1981,22161
11/1/1981,11,1981,22274
12/1/1981,12,1981,22388
1/1/1982,1,1982,22475
2/1/1982,2,1982,22562
3/1/1982,3,1982,22649
4/1/1982,4,1982,22736
5/1/1982,5,1982,22823
6/1/1982,6,1982,22910
7/1/1982,7,1982,22998
8/1/1982,8,1982,23085
9/1/1982,9,1982,23172
10/1/1982,10,1982,23259
11/1/1982,11,1982,23346
12/1/1982,12,1982,23433
1/1/1983,1,1983,23529
2/1/1983,2,1983,23624
3/1/1983,3,1983,23720
4/1/1983,4,1983,23815
5/1/1983,5,1983,23911
6/1/1983,6,1983,24006
7/1/1983,7,1983,24102
8/1/1983,8,1983,24198
9/1/1983,9,1983,24293
10/1/1983,10,1983,24389
11/1/1983,11,1983,24484
12/1/1983,12,1983,24580
1/1/1984,1,1984,24734
2/1/1984,2,1984,24889
3/1/1984,3,1984,25043
4/1/1984,4,1984,25198
5/1/1984,5,1984,25352
6/1/1984,6,1984,25507
7/1/1984,7,1984,25661
8/1/1984,8,1984,25815
9/1/1984,9,1984,25970
10/1/1984,10,1984,26124
11/1/1984,11,1984,26279
12/1/1984,12,1984,26433
1/1/1985,1,1985,26542
2/1/1985,2,1985,26650
3/1/1985,3,1985,26759
4/1/1985,4,1985,26867
5/1/1985,5,1985,26976
6/1/1985,6,1985,27084
7/1/1985,7,1985,27193
8/1/1985,8,1985,27301
9/1/1985,9,1985,27410
10/1/1985,10,1985,27518
11/1/1985,11,1985,27627
12/1/1985,12,1985,27735
1/1/1986,1,1986,27879
2/1/1986,2,1986,28022
3/1/1986,3,1986,28166
4/1/1986,4,1986,28309
5/1/1986,5,1986,28453
6/1/1986,6,1986,28596
7/1/1986,7,1986,28740
8/1/1986,8,1986,28884
9/1/1986,9,1986,29027
10/1/1986,10,1986,29171
11/1/1986,11,1986,29314
12/1/1986,12,1986,29458
1/1/1987,1,1987,29584
2/1/1987,2,1987,29710
3/1/1987,3,1987,29836
4/1/1987,4,1987,29962
5/1/1987,5,1987,30088
6/1/1987,6,1987,30214
7/1/1987,7,1987,30340
8/1/1987,8,1987,30466
9/1/1987,9,1987,30592
10/1/1987,10,1987,30718
11/1/1987,11,1987,30844
12/1/1987,12,1987,30970
1/1/1988,1,1988,31072
2/1/1988,2,1988,31173
3/1/1988,3,1988,31275
4/1/1988,4,1988,31377
5/1/1988,5,1988,31479
6/1/1988,6,1988,31580
7/1/1988,7,1988,31682
8/1/1988,8,1988,31784
9/1/1988,9,1988,31886
10/1/1988,10,1988,31987
11/1/1988,11,1988,32089
12/1/1988,12,1988,32191
1/1/1989,1,1989,33287
2/1/1989,2,1989,33454
3/1/1989,3,1989,33621
4/1/1989,4,1989,33789
5/1/1989,5,1989,33958
6/1/1989,6,1989,34128
7/1/1989,7,1989,34299
8/1/1989,8,1989,34470
9/1/1989,9,1989,34642
10/1/1989,10,1989,34816
11/1/1989,11,1989,34990
12/1/1989,12,1989,35165
1/1/1990,1,1990,35215
2/1/1990,2,1990,35240
3/1/1990,3,1990,35265
4/1/1990,4,1990,35290
5/1/1990,5,1990,35315
6/1/1990,6,1990,35340
7/1/1990,7,1990,35366
8/1/1990,8,1990,35391
9/1/1990,9,1990,35416
10/1/1990,10,1990,35441
11/1/1990,11,1990,35466
12/1/1990,12,1990,35491
1/1/1991,1,1991,35515
2/1/1991,2,1991,35592
3/1/1991,3,1991,35669
4/1/1991,4,1991,35746
5/1/1991,5,1991,35823
6/1/1991,6,1991,35900
7/1/1991,7,1991,35978
8/1/1991,8,1991,36056
9/1/1991,9,1991,36133
10/1/1991,10,1991,36211
11/1/1991,11,1991,36290
12/1/1991,12,1991,36368
1/1/1992,1,1992,36465
2/1/1992,2,1992,36484
3/1/1992,3,1992,36504
4/1/1992,4,1992,36524
5/1/1992,5,1992,36543
6/1/1992,6,1992,36563
7/1/1992,7,1992,36583
