Date,Month,Year,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1/1/1996,1,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1/1996,2,1996,0,0,39,0,275,61,6,4,5,159,63,7,8,48,33,2,18,0,3,3,25,18,52,8,0,21,8,2,21,2,35,15,52,15,0,31,12,44,17,4,4,0,6,129,14,1,21,46,0,4,3
3/1/1996,3,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1/1996,4,1996,26,0,69,5,293,133,21,3,7,236,67,14,12,83,43,4,20,5,3,1,24,45,71,12,0,26,8,3,26,6,59,28,65,17,1,43,12,69,29,12,6,3,10,202,59,3,21,81,1,9,5
5/1/1996,5,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/1/1996,6,1996,16,0,16,0,168,50,18,1,4,73,46,5,6,28,21,1,1,4,1,0,9,22,20,14,1,4,1,1,16,5,43,2,45,3,3,18,1,30,13,5,3,1,3,11,40,1,4,26,1,1,3
7/1/1996,7,1996,14,0,112,5,566,250,38,8,8,372,154,9,23,161,84,6,17,4,6,3,49,54,130,14,3,49,12,3,54,5,64,42,101,39,1,70,22,181,54,8,13,0,13,295,109,2,39,123,1,16,5
8/1/1996,8,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/1996,9,1996,15,2,110,14,376,138,154,5,8,314,109,12,28,93,73,10,22,4,14,4,64,913,97,22,2,48,13,5,50,18,71,27,108,38,1,76,15,82,37,13,14,2,17,276,68,1,36,64,2,7,9
10/1/1996,10,1996,28,1,97,5,625,310,89,2,14,267,203,19,20,175,57,8,12,5,12,7,79,121,158,39,1,39,14,4,63,12,91,30,108,35,6,81,15,159,35,36,18,2,12,305,148,0,49,108,3,15,13
