States,Year,Median Income(2007 Dallor),Standard Error (2007 Dollar),Median Income(not adjusted),Standard Error(not adjusted)
AK,1984,"32,902","1,150","17,310",605
AK,1985,"33,690","1,397","18,333",760
AK,1986,"34,533","1,597","19,132",885
AK,1987,"34,455","2,003","19,734","1,147"
AK,1988,"33,596","1,536","19,948",912
AK,1989,"34,364","1,728","21,284","1,070"
AK,1990,"35,920","1,595","23,357","1,037"
AK,1991,"36,145","1,586","24,346","1,068"
AK,1992,"37,368","1,532","25,808","1,058"
AK,1993,"35,441","1,537","25,082","1,088"
AK,1994,"37,625","2,157","27,196","1,559"
AK,1995,"35,112","1,710","25,991","1,266"
AK,1996,"39,874","1,655","30,302","1,258"
AK,1997,"41,140","2,070","31,939","1,607"
AK,1998,"46,070","1,660","36,266","1,307"
AK,1999,"45,110","1,480","36,251","1,189"
AK,2000,"42,652","1,291","35,424","1,072"
AK,2001,"41,178","1,178","35,160","1,006"
AK,2002,"43,339","1,224","37,603","1,062"
AK,2003,"42,000","1,781","37,255","1,580"
AK,2004,"40,207","1,430","36,629","1,303"
AK,2005,"39,456","1,290","37,150","1,215"
AK,2006,"39,029","1,043","37,952","1,014"
AK,2007,"42,212","1,420","42,212","1,420"
AL,1984,"61,501","2,800","32,356","1,473"
AL,1985,"63,917","2,001","34,782","1,089"
AL,1986,"56,597","1,836","31,356","1,017"
AL,1987,"58,024","2,614","33,233","1,497"
AL,1988,"55,751","1,992","33,103","1,183"
AL,1989,"58,133","2,225","36,006","1,378"
AL,1990,"60,436","2,502","39,298","1,627"
AL,1991,"60,294","2,705","40,612","1,822"
AL,1992,"60,526","1,674","41,802","1,156"
AL,1993,"60,661","2,322","42,931","1,643"
AL,1994,"62,764","2,067","45,367","1,494"
AL,1995,"64,783","2,713","47,954","2,008"
AL,1996,"69,452","2,509","52,779","1,907"
AL,1997,"61,820","1,620","47,994","1,258"
AL,1998,"64,396","2,698","50,692","2,124"
AL,1999,"63,956","2,770","51,396","2,226"
AL,2000,"63,630","1,395","52,847","1,159"
AL,2001,"67,181","2,356","57,363","2,012"
AL,2002,"60,824","1,237","52,774","1,073"
AL,2003,"58,439","1,106","51,837",981
AL,2004,"60,442","2,273","55,063","2,071"
AL,2005,"59,361","1,414","55,891","1,331"
AL,2006,"58,019","1,537","56,418","1,495"
AL,2007,"62,993","1,583","62,993","1,583"
AR,1984,"40,724","1,158","21,425",609
AR,1985,"43,878","1,367","23,877",744
AR,1986,"46,027","1,296","25,500",718
AR,1987,"46,703","1,557","26,749",892
AR,1988,"44,521","1,420","26,435",843
AR,1989,"46,098","1,954","28,552","1,210"
AR,1990,"44,943","1,755","29,224","1,141"
AR,1991,"45,633","1,332","30,737",897
AR,1992,"42,508","1,575","29,358","1,088"
AR,1993,"43,110","1,583","30,510","1,120"
AR,1994,"43,293","1,069","31,293",773
AR,1995,"41,694","1,837","30,863","1,360"
AR,1996,"41,631","1,676","31,637","1,274"
AR,1997,"42,171","1,671","32,740","1,297"
AR,1998,"47,117","1,594","37,090","1,255"
AR,1999,"46,036","1,410","36,995","1,133"
AR,2000,"47,900","1,457","39,783","1,210"
AR,2001,"50,013","1,688","42,704","1,441"
AR,2002,"45,795","1,156","39,734","1,003"
AR,2003,"46,409","1,603","41,166","1,422"
AR,2004,"48,129","1,255","43,846","1,143"
AR,2005,"48,054","1,350","45,245","1,271"
AR,2006,"47,981","1,281","46,657","1,246"
AR,2007,"47,215","1,555","47,215","1,555"
AZ,1984,"29,792","1,422","15,674",748
AZ,1985,"32,069","1,404","17,451",764
AZ,1986,"33,807","1,381","18,730",765
AZ,1987,"32,872","1,760","18,827","1,008"
AZ,1988,"33,973","1,189","20,172",706
AZ,1989,"34,604","1,477","21,433",915
AZ,1990,"35,042","1,509","22,786",981
AZ,1991,"34,793","1,162","23,435",783
AZ,1992,"34,580","2,024","23,882","1,398"
AZ,1993,"32,554","1,197","23,039",847
AZ,1994,"35,368","1,306","25,565",944
AZ,1995,"34,873","1,350","25,814",999
AZ,1996,"35,691","1,287","27,123",978
AZ,1997,"33,699","1,486","26,162","1,154"
AZ,1998,"35,144","1,474","27,665","1,160"
AZ,1999,"36,936","1,277","29,682","1,026"
AZ,2000,"35,756",930,"29,697",772
AZ,2001,"39,045","1,340","33,339","1,144"
AZ,2002,"37,327",897,"32,387",778
AZ,2003,"36,078",875,"32,002",776
AZ,2004,"38,402","1,091","34,984",994
AZ,2005,"38,934","1,390","36,658","1,309"
AZ,2006,"38,108",789,"37,057",767
AZ,2007,"40,795","1,348","40,795","1,348"
CA,1984,"48,064",692,"25,287",364
CA,1985,"49,582",643,"26,981",350
CA,1986,"52,362","1,029","29,010",570
CA,1987,"52,635",939,"30,146",538
CA,1988,"51,009","1,068","30,287",634
CA,1989,"53,294",998,"33,009",618
CA,1990,"51,196",869,"33,290",565
CA,1991,"49,979","1,017","33,664",685
CA,1992,"50,537",911,"34,903",629
CA,1993,"48,145",920,"34,073",651
CA,1994,"48,879",856,"35,331",619
CA,1995,"49,997",977,"37,009",723
CA,1996,"51,073","1,076","38,812",818
CA,1997,"51,129","1,113","39,694",864
CA,1998,"52,000",733,"40,934",577
CA,1999,"54,291",875,"43,629",703
CA,2000,"56,368",826,"46,816",686
CA,2001,"55,351",851,"47,262",727
CA,2002,"54,673",883,"47,437",766
CA,2003,"55,579",923,"49,300",819
CA,2004,"54,031",724,"49,222",660
CA,2005,"54,968",489,"51,755",460
CA,2006,"56,888",715,"55,319",695
CA,2007,"55,734",618,"55,734",618
CO,1984,"49,041","1,530","25,801",805
CO,1985,"51,789","1,562","28,182",850
CO,1986,"49,081","1,671","27,192",926
CO,1987,"46,227","1,877","26,476","1,075"
CO,1988,"44,149","2,164","26,214","1,285"
CO,1989,"43,279","2,257","26,806","1,398"
CO,1990,"47,264","1,393","30,733",906
CO,1991,"46,765","1,848","31,499","1,245"
CO,1992,"47,035","2,130","32,484","1,471"
CO,1993,"48,731","2,217","34,488","1,569"
