State,median_income,ty_cr,mort_orig,unemp_rate,pop_size,foreclosures,building_permits
AK,,,,,,,
AL,,,,,,,
AR,,,,,,,
AZ,"-6,0","3,6","1,3","-9,-3","-6,-6","-12,-8","5,12"
CA,"-15,-12","4,7","4,6","1,6","2,8","9,12","6,12"
CO,"-6,-3","1,4","10,12","-8,-3","-4,-2","1,3","4,7"
CT,,,,,,,
DC,,,,,,,
DE,,,,,,,
FL,"0,12","0,6","3,18","-6,0","-18,0","-12,-5","3,12"
GA,,,,,,,
HI,,,,,,,
IA,,,,,,,
ID,"-8,-4","2,4","1,4","-5,-4","-6,-3","-12,-6","10,16"
IL,,,,,,,
IN,,,,,,,
KS,,,,,,,
KY,,,,,,,
LA,,,,,,,
MA,,,,,,,
MD,,,,,,,
ME,,,,,,,
MI,"0,12","0,12","-6,6","-4,4","0,12","-3,3","-12,0"
MN,,,,,,,
MO,,,,,,,
MS,,,,,,,
MT,,,,,,,
NC,,,,,,,
ND,,,,,,,
NE,,,,,,,
NH,,,,,,,
NJ,,,,,,,
NM,,,,,,,
NV,"-8,-5","3,5","9,11","-1,3","-3,3","1,5","-3,3"
NY,"2,6","0,8","0,8","4,9","-6,-4","-18,-14","4,10"
OH,,,,,,,
OK,,,,,,,
OR,,,,,,,
PA,,,,,,,
RI,,,,,,,
SC,,,,,,,
SD,,,,,,,
TN,,,,,,,
TX,"-6,-6","3,9",2#5,"5,8","-6,-6","-8,-8","6,9"
UT,,,,,,,
VA,"18,24","0,6","12,24","0,6","-3,3","0,10","18,24"
VT,,,,,,,
WA,,,,,,,
WI,,,,,,,
WV,"18,24","0,0","12,24","0,6","-3,3","0,10","18,24"
WY,,,,,,,
