States,AR order,d,MA order,m.order,s.order
AK,0,0,3,0,0
AL,0,0,2,0,0
AR,0,0,2,0,0
AZ,1,0,3,0,0
CA,0,0,0,0,0
CO,1,0,1,0,0
CT,1,0,1,0,0
DC,2,0,2,0,0
DE,0,0,0,0,0
FL,1,0,1,0,0
GA,1,0,1,0,0
HI,0,0,0,0,0
IA,0,0,0,0,0
ID,0,0,0,0,0
IL,2,0,1,0,0
IN,0,0,0,0,0
KS,1,0,2,0,0
KY,0,0,1,0,0
LA,3,0,0,0,0
MA,3,0,0,0,0
MD,1,0,3,0,0
ME,4,0,0,0,0
MI,4,0,0,0,0
MN,0,0,0,0,0
MO,0,0,0,0,0
MS,0,0,0,0,0
MT,0,0,0,0,0
NC,0,0,0,0,0
ND,0,0,0,0,0
NE,0,0,0,0,0
NH,0,0,0,0,0
NJ,0,0,0,0,0
NM,1,0,2,0,0
NV,1,0,3,0,0
NY,2,0,2,0,0
OH,1,0,2,0,0
OK,1,0,1,0,0
OR,1,0.656,3,0,0
PA,1,0,1,0,0
RI,1,0,4,0,0
SC,0,0,0,0,0
SD,0,0,0,0,0
TN,0,0,0,0,0
TX,0,0,0,0,0
UT,0,0,0,0,0
VA,0,0,0,0,0
VT,3,0,1,0,0
WA,1,0,1,0,0
WI,1,0,1,0,0
WV,1,0,0,0,0
WY,1,0,1,0,0
